TF,k,MSE,RMSE,Pearson,Spearman
AFF1,75,0.01009626554585057,0.1004801748896297,0.06780913428005494,0.06809417712880074
ALX1,100,0.012596533001943824,0.11223427730396728,0.007617759315218284,-0.0007208712266345653
ALX4,100,0.01912625899264871,0.1382977186820112,0.02920614749079977,0.04699624979457826
ARID1A,100,0.02133202498597594,0.14605486977836768,0.08716678659051817,0.06713561049901592
ARID3A,100,0.008717304220930183,0.09336650481264779,0.041132041719596016,0.04242720969790821
ARNTL,100,0.02624085249372362,0.16199028518316652,0.0380533334097095,0.03143777520045105
ATF3,100,0.01121630321966989,0.10590704990542363,0.11189819008033317,0.11067347038602988
BARX1,50,0.04394788955167066,0.2096375194273932,0.039041058452666574,0.03631785261022745
BBX,100,0.0981465871453939,0.31328355709387923,0.003833025501880536,0.018284375786383596
BCL11A,100,0.06659435184599152,0.25805881470314385,0.03452377351267041,0.03416674539199406
BCL11B,50,0.09583230036820077,0.30956792528975086,0.045062637675554656,0.03781705733048969
BHLHE40,100,0.0198389020595566,0.14085063741267415,0.02827665591267554,0.021095992814687655
BHLHE41,100,0.020111164315381028,0.14181383682624565,-0.008396567729411756,-0.0032545378445896092
BID,100,0.01281530562682747,0.11320470673442633,0.05988895804655022,0.08975550717178282
BNC1,100,0.009476233892284932,0.09734594954226361,0.03202589292922996,0.025060923419385185
BNC2,100,0.01619852501128571,0.12727342617878137,0.04575797040255959,0.027462731212289905
BPTF,50,0.017700076336884855,0.13304163384777284,0.032336618767549445,0.026250481496208643
BSX,100,0.03628048023240086,0.19047435583931202,0.10856167765934248,0.08695584376937467
CARHSP1,50,0.02954319621453509,0.17188134341613429,0.016763157344352967,0.014858708464735535
CASZ1,100,0.06701068594518032,0.25886422299186174,0.016819169116270852,0.020593619928239233
CDX2,100,0.02816011122069879,0.1678097470968203,0.07490009761739742,0.06204357462669058
CEBPA,100,0.04928118009411585,0.22199364876976965,0.06547408033731787,0.04009732460713944
CEBPB,100,0.04210861739841668,0.20520384352739762,0.0663777688307277,0.060803979979561905
CREBBP,100,0.011365481789961255,0.10660901364313083,0.032131235918948176,0.007886780635953224
DLX2,100,0.013303251562117605,0.115339722394835,0.024809104545582526,0.03403109272171353
DLX3,75,0.028046220816318322,0.1674700594623359,0.011005781795346725,0.009427926554759377
DMRT1,100,0.02449152153359796,0.15649767261399755,0.055983279468349356,0.0652225715159572
DNAJC1,100,0.018253631136366764,0.13510599963127753,0.03318694570490352,0.02554771054512247
EBF2,50,0.0184869644836324,0.13596677713188762,0.041048147367787016,0.03159601425422777
EBF3,100,0.03666718204807133,0.19148676729234146,0.01280314808064954,0.010355899313496137
EGR2,100,0.02140315812449081,0.14629818223235314,0.019936575693711277,0.012726052590480805
EGR3,75,0.02409127229641476,0.15521363437667055,0.08206251301963871,0.05939560164236074
ELF4,100,0.012237160406347727,0.11062169952747845,0.07350220517025496,0.05599651058659642
ELK3,75,0.008074748404559823,0.08985960385267577,0.09678415814435375,0.10485294936001417
EOMES,100,0.13044935611495412,0.36117773479957777,0.10736748888165423,0.05495587032922894
EP300,100,0.019310305136586426,0.1389615239430916,0.10553961873493774,0.10980825663322809
EPAS1,100,0.009411606874882449,0.0970134365687684,0.09933849829505104,0.09995916324819971
ESX1,100,0.03672808702367686,0.1916457331214991,0.05490557149649129,0.03157555736338728
ETS1,100,0.03582586747200937,0.18927722385963233,0.12229773726490749,0.09729071693540049
FEZF2,100,0.02897322217106481,0.17021522308849116,0.11984847095197333,0.09378997086951887
FLI1,75,0.058126988600361175,0.2410953931545793,0.10160420952639367,0.07964089693769422
FOSB,100,0.023124338727839172,0.15206688899244034,0.22622529153291054,0.23403095283561215
FOSL1,50,0.015146780248333333,0.12307225620883584,0.06268285614360325,0.06533566953589498
FOSL2,100,0.03379898656220127,0.18384500690038136,0.030357091217116765,0.028131330093753674
FOXA3,100,0.04150897838290722,0.20373752325702602,0.0470296670828629,0.03406244143701654
FOXC1,50,0.04718619386029495,0.21722383354571143,-0.010317735362172557,-0.014496656723117018
FOXC2,50,0.10044371003907045,0.3169285566796884,0.009238015062224356,0.005507210491477033
FOXD1,100,0.017649348278858883,0.13285084974835082,0.058670902543952866,0.063841051928979
FOXD2,100,0.014749469766515486,0.12144739505858282,0.037508892399940076,0.040207818666672675
FOXD3,100,0.047016830793963404,0.21683364774398692,0.049362741113095236,0.04344888959416775
FOXE1,100,0.06328126644242013,0.25155768014994123,0.04760322139359026,0.05736860212213435
FOXE3,100,0.026127974569348296,0.1616415001456875,0.06619217571918821,0.06994066138706478
FOXF1,100,0.03256279728280836,0.18045164804680605,0.20856533518107243,0.248340999374323
FOXF2,100,0.02086600402467583,0.1444506975569029,0.17219226486408395,0.2133113153043491
FOXI3,50,0.02903725259340344,0.17040320593640085,0.16115046182659581,0.14723097211207886
FOXJ1,75,0.06538040412179975,0.2556959212068111,0.07819532824049188,0.06549657244260837
FOXL2,10,0.02498048551705486,0.1580521607478204,0.14511874334319505,0.16635922325245567
FOXP4,100,0.022016864475136153,0.1483808089853137,0.15658202777207755,0.12348054762314306
GATA2,100,0.07716797423360033,0.2777912421830471,0.14410078467182325,0.13680534727396698
GATA3,75,0.02004398772658176,0.14157679091779754,0.22870614505966672,0.2318040161635973
