TF,k,MSE,RMSE,Pearson,Spearman
AFF1,100,0.010118806218814,0.10059227713305828,0.027887103570407162,0.014988846829551584
ALX1,75,0.012672004029687383,0.11256999613434915,-0.0008250891014557865,0.001617453159344328
ALX4,100,0.019211717552746924,0.13860634023285848,0.0017643928535075071,0.006794060772173429
ARID1A,75,0.021766188015323616,0.14753368434131786,-0.011906137753091083,-0.013250315515949
ARID3A,75,0.008784419000140622,0.09372523139550322,0.028586482856328387,0.02793576848195526
ARNTL,100,0.026458738176923235,0.1626614219073571,0.004615150991157002,0.00596851806133411
ATF3,100,0.011272597016177837,0.10617248709612974,0.0982786248480524,0.09089649331890129
BARX1,100,0.04408123309662245,0.20995531214194713,-0.02094188336898651,-0.02260494431399486
BBX,100,0.09796421602319398,0.3129923577712305,0.01768889476775145,0.019300462890853888
BCL11A,50,0.06761089682690599,0.26002095459194435,0.017014337680693513,0.021471923298439284
BCL11B,100,0.09482006546740576,0.3079286694470097,0.06966852395210386,0.06996122798783258
BHLHE40,75,0.01992326488821603,0.14114979591985258,0.02721592001607548,0.03358151717291263
BHLHE41,50,0.02038860519370894,0.14278867319822303,-0.005361958416049247,-0.0052889874045541655
BID,75,0.012828353596739178,0.11326232205256599,0.04417426414521421,0.03998213085528364
BNC1,100,0.009515220477837653,0.09754599160312868,0.019430923770894698,0.019625063423345458
BNC2,100,0.016301454750582117,0.12767715046390296,0.018189228085470945,0.015250696778989745
BPTF,100,0.017565120937745368,0.13253347100919588,0.005834390860204477,0.011895517018910255
BSX,100,0.035844808154887754,0.18932725148506158,0.10065823531689685,0.08657559657686656
CARHSP1,100,0.02929249440698394,0.1711505022107266,0.014505377226417074,0.012846207454388614
CASZ1,100,0.06712999793464054,0.25909457334077945,0.020851790281734416,0.023645164138433046
CDX2,100,0.028433119589911272,0.16862123113626964,0.04672376487577249,0.04747085017744682
CEBPA,75,0.04985794924062834,0.22328893667315527,0.024951919618118164,0.020010170624132465
CEBPB,50,0.04287558604875481,0.20706420755107535,0.032062651250882326,0.0324588008113429
CREBBP,100,0.011431906442377082,0.10692009372600214,0.027551889877108972,0.026314533622853926
DLX2,75,0.013389732522503372,0.1157140117812159,0.014609409046641608,0.022836003721620573
DLX3,75,0.027793101739650043,0.1667126322137889,0.05459730900444484,0.05307274416694498
DMRT1,100,0.024746612184078205,0.15731055967123825,0.010490355628828751,0.006977130681085608
DNAJC1,100,0.01845101313108251,0.13583450640791725,0.02331007148148912,0.01883649585433395
EBF2,100,0.018403475446190348,0.13565940972225388,0.04835662169106097,0.04139678913383328
