perturbation,mean_cor,mean_sqrt1mse,lambda_min,lambda_1se
AFF1,,,0.0892754453680556,0.131038433327866
ALX1,,,0.107747769166236,0.107747769166236
ALX4,,,0.105044082419211,0.105044082419211
ARID1A,,,0.114362593146527,0.114362593146527
ARID3A,,,0.0924401826281175,0.135683632360401
ARNTL,0.0522527261271359,,0.0896809128916433,0.131633578262033
ATF3,0.0934204190894011,,0.0500538987800596,0.158284325916512
BARX1,,,0.118678760377537,0.118678760377537
BBX,,,0.127967941371372,0.127967941371372
BCL11A,,,0.107065163874842,0.107065163874842
BCL11B,,,0.0925778988763215,0.135885772168655
BHLHE40,,,0.106254051464271,0.106254051464271
BHLHE41,,,0.107848825645234,0.107848825645234
BID,,,0.153598052951478,0.153598052951478
BNC1,,,0.114573105033974,0.114573105033974
BNC2,,,0.0882688316865756,0.129560926503411
BPTF,,,0.107878435840214,0.107878435840214
BSX,0.10575318165509,,0.0689127763865387,0.21792133326733
CARHSP1,,,0.0480387274085929,0.0705112089078288
CASZ1,,,0.0835870015707365,0.122688939688252
CDX2,,,0.0724398286611983,0.106327127455575
CEBPA,,,0.0622910552195187,0.134202010243623
CEBPB,,,0.0875071807070968,0.128442975753549
CREBBP,,,0.113446086267445,0.113446086267445
DLX2,,,0.0963518595556278,0.141425188889775
DLX3,,,0.0869066268616438,0.127561483259025
DMRT1,,,0.118595964884354,0.118595964884354
DNAJC1,,,0.0980460386250808,0.0980460386250808
EBF2,,,0.0833677903110769,0.122367181561869
EBF3,,,0.115157713378238,0.115157713378238
EGR2,0.0694163948400529,,0.0928269143796536,0.136251276942072
EGR3,0.122077469178238,,0.0833659728712692,0.263626353629018
ELF4,,,0.082351896547412,0.12087605343958
ELK3,0.0540857477622767,,0.0837420310885593,0.122916491900972
EOMES,,,0.137985703821997,0.137985703821997
EP300,0.0678486225233576,,0.0985386546700584,0.144634965157176
EPAS1,0.0937347705032686,,0.0602622567134949,0.190565988156417
ESX1,,,0.127811433372019,0.127811433372019
ETS1,0.0935859704808727,,0.0813169465845394,0.175192050609201
FEZF2,0.0387031710393228,,0.099451165094099,0.14597434728928
FLI1,,,0.0631456515179523,0.136043182154941
FOSB,0.237256776052349,,0.043943026930966,0.299380357384675
FOSL1,,,0.0858453234165804,0.126003702839636
FOSL2,,,0.129461971421549,0.129461971421549
FOXA3,,,0.086073148290501,0.126338104022723
FOXC1,,,0.11661427797591,0.11661427797591
FOXC2,,,0.0943823604763044,0.138534359583562
FOXD1,,,0.109460691737416,0.109460691737416
FOXD2,0.0835765860536728,,0.119253782133713,0.175040614077025
FOXD3,,,0.128673693264942,0.128673693264942
FOXE1,,,0.115574216876237,0.115574216876237
FOXE3,0.0633126028698903,,0.086452699572723,0.186256695006379
FOXF1,0.153255747735107,,0.075379590507435,0.238371195094302
FOXF2,0.151436072707274,,0.0533199969199293,0.247489502311812
FOXI3,0.117734424235849,,0.0589757563081614,0.186497716664833
FOXJ1,,,0.135426488843279,0.135426488843279
FOXL2,0.121352187177194,,0.0596309996431929,0.188569778025177
FOXP4,,,0.0677963955828956,0.146062906502915
GATA2,0.136303661830182,,0.0470463762828142,0.148773704711019
GATA3,0.177868723062747,0.151624817727924,0.062247963434411,0.196845344159616
GATA4,0.0646731440083682,,0.0833202427238226,0.12229739124812
GATA6,0.0994661985173944,,0.0768731281475732,0.165618134012398
GFI1,0.0535333442946441,,0.0710311799118636,0.153032038076015
GLI1,0.0765497351299245,,0.0928845598836462,0.200113717981671
GLIS3,0.0705170562250615,,0.101698194080139,0.149272534789316
GSC,0.0890199444364302,0.0896276834211681,0.071039753990607,0.153050510368695
GSX2,0.0841051727271169,,0.0765897607585224,0.165007637479403
