perturbation,mean_cor,mean_sqrt1mse,lambda_min,lambda_1se
AFF1,0.132202800261355,0.100854947745473,0.0648994924755866,0.139821717954867
ALX1,,,0.0978298115355827,0.0978298115355827
ALX4,,,0.122901890706903,0.122901890706903
ARID1A,0.0936926386218249,,0.122631868994761,0.179998967497636
ARID3A,0.0304800768009691,,0.0878864537465755,0.128999672443124
ARNTL,0.0477032850606579,,0.0930963422321027,0.136646742946574
ATF3,0.138814216526501,,0.0655839867451806,0.207394776149064
BARX1,0.0909406904011021,,0.0624442900984703,0.134532144782559
BBX,0.0220175048539996,,0.0863903195461494,0.126803647759475
BCL11A,0.0895902270478107,,0.0934807609377943,0.137210992441248
BCL11B,0.0411132499695442,,0.0966770015447173,0.141902432063234
BHLHE40,,,0.0949070408853048,0.139304485103628
BHLHE41,,,0.112842515511962,0.112842515511962
BID,,,0.120337633254743,0.120337633254743
BNC1,,,0.0836266133790877,0.122747081871539
BNC2,,,0.0824744842389925,0.121055987563501
BPTF,0.0531240705788364,,0.0980712978007959,0.143948979086754
BSX,0.163743341695654,,0.0545403873884777,0.172471848615512
CARHSP1,,,0.103528099987219,0.103528099987219
CASZ1,0.053339294172583,,0.104571670880304,0.153490221932126
CDX2,0.107764810308849,,0.0702439185432055,0.151335934873256
CEBPA,0.096437689991048,,0.0767897266547332,0.165438450943023
CEBPB,0.0682655166649561,,0.111384587844019,0.163490216461837
CREBBP,0.0882856666459,,0.0822081777983625,0.177112150053101
DLX2,,,0.122250133964057,0.122250133964057
DLX3,,,0.0552093210868244,0.118944876562563
DMRT1,,,0.0903473399880876,0.132611759466117
DNAJC1,,,0.117916198639157,0.117916198639157
EBF2,0.0851509545719436,,0.0931631718319866,0.200713969228233
EBF3,0.100471085466828,,0.084591647054531,0.182247178901215
EGR2,,,0.103895853970435,0.152498258366774
EGR3,0.106809142943285,,0.0729598115697096,0.157187149023972
ELF4,0.104674509946385,,0.0803832429247109,0.173180447054257
ELK3,0.0926125736455593,,0.0715683327338396,0.154189298749528
EOMES,0.169300504276489,,0.0662744080509734,0.209578080020477
EP300,0.18493530020145,0.156393086972287,0.0485816500040462,0.104665992067705
EPAS1,0.0803506621148723,,0.0620447287976193,0.133671316055211
ESX1,,,0.121923753293245,0.121923753293245
ETS1,0.204595895170478,0.176536163422236,0.0626137067472543,0.134897141887768
FEZF2,0.0648143653065581,,0.0816748675492137,0.175963167951785
FLI1,0.136912576416389,0.121403421436861,0.064841987009583,0.205048366961333
FOSB,0.328959243000948,0.312052812787173,0.0406898208193861,0.128672511373399
FOSL1,0.0834678014152062,,0.0847294185783295,0.124365778535316
FOSL2,,,0.0849656242101377,0.124712480988692
FOXA3,0.0809223978228122,,0.074269684171452,0.160009183996688
FOXC1,,,0.0860411049423631,0.126291070819794
FOXC2,0.0641386186514121,,0.0735262668243457,0.158407539874911
FOXD1,0.0884253205622791,,0.0987065638006847,0.144881422056136
FOXD2,0.10059756062772,,0.0728737708046395,0.157001779814948
FOXD3,0.038890725925765,,0.084273921609376,0.123697200417882
FOXE1,0.0874424578439619,,0.0749718975375377,0.161522056832387
FOXE3,0.0370649599404638,,0.0725978649532507,0.156407358677533
FOXF1,0.251253953883179,0.255531136992908,0.0455839660280994,0.0982076777201723
FOXF2,0.208973799591415,0.208236608316505,0.0533233125421748,0.247504892067003
FOXI3,0.246502988507848,0.235347672809926,0.0526057658116655,0.244174335175076
FOXJ1,0.114397568683862,,0.0780290708790386,0.168108537132758
FOXL2,0.254481379010604,0.218149240344296,0.0555995168397975,0.25807009651787
FOXP4,0.161158000653535,,0.058257082544334,0.184225070676533
GATA2,0.126910563062522,,0.0679013598355813,0.214722953303113
GATA3,0.320673645758284,0.300873794049708,0.0442815401296321,0.140030525109785
GATA4,0.193327280736197,0.163616378130799,0.062516334973692,0.197694009482909
GATA6,0.173198942815611,,0.0544691059189467,0.172246436816831
GFI1,0.0576121341596415,,0.0662927770343705,0.142823458541397
GLI1,0.136414895993448,,0.0586644471761999,0.185513270751425
GLIS3,0.169017515951697,,0.0573345434202259,0.181307745813734
GSC,0.143176837897513,,0.0527278238129226,0.166740019312899
GSX2,,,0.0880538187200793,0.129245330628659
GTF2B,,,0.120729618926214,0.120729618926214
HAND1,,,0.0568336194019019,0.122444321199527
HELZ2,0.420534407424136,0.402957686595995,0.0287662511479242,0.0619750093752574
HES4,,,0.121541161722383,0.121541161722383
HES5,0.0933267575207984,,0.0923932366966965,0.135614725156644
HES7,0.240886688072475,0.221319025112385,0.057642527486101,0.0846076596279841
HHEX,0.243763191766097,0.207114278441734,0.0636722715745867,0.137177750673421
HIC1,0.107048914139755,,0.0759247675521685,0.163574953046999
HIVEP1,0.21228969073812,0.212022232932601,0.065534458355466,0.304184010119593
HMGA1,,,0.13437850206252,0.13437850206252
HMGN2,0.132221915142266,,0.0827290575211376,0.178234351397182
HMX3,0.0650445045402008,,0.069801673707105,0.150383147256873
HNF1B,,,0.0879466490691466,0.129088027093509
HNRNPAB,,,0.0922547614618867,0.135411471308406
HOXA13,,,0.0638480909342461,0.13755654200105
HOXC9,0.0576252857946084,,0.0710125207803159,0.152991838195723
HOXC13,,,0.0820853986706625,0.120484888051264
IFI16,,,0.154407434283618,0.154407434283618
IKZF2,,,0.0813535993937467,0.119410753608561
IKZF5,0.0812688748282382,,0.0721170703915187,0.155371518194959
INSM2,0.127578905937133,,0.0904031923291965,0.194767773643645
IRF1,0.369597812966783,0.33156733291726,0.0473897181961467,0.219963586807291
IRF4,0.103687268761506,,0.067841657722567,0.146160420826768
IRX3,0.0540702383492504,,0.0850604751512468,0.124851703130585
JDP2,0.0855844538806232,,0.0633120164222272,0.136401604475915
JUN,0.09728527381399,,0.0714180152564426,0.153865449561706
JUNB,,,0.111154596910563,0.111154596910563
KLF2,,,0.111286391634543,0.111286391634543
KLF3,0.09698813901057,,0.0868944066483471,0.127543546438898
KLF5,0.14783261775805,,0.0710288700953102,0.153027061727105
KLF8,0.196303148981588,0.171446424543448,0.0668445546123971,0.211381041754688
KLF15,0.0602350168617453,,0.0593752559732491,0.187761045530985
KLF16,,,0.076911076991044,0.112890022479479
LBX1,,,0.125835016821617,0.125835016821617
LHX2,0.0795540924503691,,0.0773040282109888,0.166546480056958
LHX4,0.0913022044196389,,0.0738921283384936,0.159195764612739
LHX6,,,0.119676771338208,0.119676771338208
LHX9,0.0787069866785282,,0.0972697528424601,0.142772471983943
LYL1,,,0.0617574047259164,0.133052295107853
MBD4,,,0.103578578352502,0.103578578352502
MECOM,,,0.127442366150813,0.127442366150813
MESP1,,,0.113527687065718,0.113527687065718
MKX,0.142474084020325,0.135604497151992,0.0517523566336458,0.163655321243645
MLXIP,,,0.0888934951121509,0.130477807021981
MMP3,,,0.112539477753594,0.112539477753594
MNX1,0.103113838163479,,0.0629422460477671,0.135604958353832
MXI1,0.315511114809607,0.303454746865837,0.0373646952680565,0.0804997956679712
MYBL1,0.193139884931596,0.173450383205981,0.0483124145670429,0.0709129267185594
MYC,0.446630260313345,0.426987843892867,0.0373375717479787,0.0804413598153998
MYCN,0.289255804783432,0.262943541503091,0.0458429222711996,0.0672882077353222
MYOD1,0.0451790269462933,,0.0768464675053582,0.112795188723708
MYRF,,,0.118000144813749,0.118000144813749
NCOA3,0.0991451859132236,,0.0774428487116149,0.166845559759194
NEUROD1,0.243467816539744,0.227411463246624,0.0605290591795468,0.191409691634491
NEUROD2,0.153044604441198,,0.0770052061240498,0.165902687386709
NFATC1,,,0.147919141053731,0.147919141053731
NFE2,0.10680176513339,,0.0689812447729048,0.148615586700327
NFE2L2,0.149238553256075,,0.0521407117474947,0.242015745423794
NFKBIA,,,0.0932175067553487,0.0932175067553487
NHP2,,,0.100911685656615,0.100911685656615
NKX1-2,,,0.0647755839495723,0.139554765128031
NKX3-1,0.215440451361447,0.158592812902364,0.0601809702036826,0.129655969886589
NKX3-2,0.0849386348811752,,0.0627450362968232,0.135180082825186
NKX6-2,0.0853403679792718,,0.0691779495519706,0.149039374300041
NME2,,,0.121812396860996,0.121812396860996
NOTO,0.071891191264993,0.0758214781235596,0.0476757738122881,0.150764034457839
NR2F2,0.133596258397051,,0.0552208305219525,0.174623598735515
NR4A1,,,0.0939513565219761,0.137901732295057
NR4A3,,,0.0997262508863034,0.0997262508863034
NSD2,0.1264710437911,,0.0757722541408367,0.163246372862931
ONECUT3,0.202257088717044,0.191136560393531,0.0572006606617316,0.265501947802767
OSR1,,,0.112726751695188,0.112726751695188
OSR2,0.0521823186915262,,0.0942387768481765,0.138323607639353
OVOL1,0.163708172094022,0.146435417824369,0.0535088706552183,0.115281367164031
OVOL2,0.148756623171209,,0.0677075885438348,0.145871577537243
PARP1,,,0.10739405593176,0.10739405593176
PAX2,0.149899735258959,,0.0752174112102086,0.162051000005667
PAX3,,,0.112284023800004,0.112284023800004
PAX5,0.168757342664794,,0.0540539296593736,0.17093353420615
PDX1,0.0392778766765233,,0.10319464041544,0.151469017624305
PHOX2A,0.119566913763923,,0.0574761736772543,0.181755620011539
PITX1,0.0302913597949745,,0.0811993226101893,0.119184306258644
PLAG1,0.0932934048100099,,0.0799285002046057,0.172200733563023
