perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
AFF1,0.1005922771330582,0.0278871035704071,0.1003691153340555,0.0167490203105762,0.1115119468955295,0.0308695809348752,0.1003308010744976,0.0407896341045833,0.1002592306429447,0.0530792693277167,0.0122896352231334,7.157043155289755e-05
ALX1,0.1125699961343491,-0.0008250891014557,0.1118950055141176,-0.01444277136309,0.1316326353656441,-0.0419790199650657,0.1117386309169168,0.0207480217382468,0.1117565269841206,0.0062290076598877,-0.014519014078359099,-1.7896067203801436e-05
ALX4,0.1386063402328584,0.0017643928535075,0.1373681134720638,0.0039235493259791,0.1588146331545145,0.0138645947526685,0.1377235669393836,0.0112796530541006,0.1377239348176862,-0.0133076424444308,-0.0245872954985314,-3.6787830259843446e-07
ARID1A,0.1475336843413178,-0.011906137753091,0.146335284406389,0.0266099276313463,0.1741533163852762,-0.0576530717930402,0.146229776920741,-0.0314941710373311,0.146217417669055,-0.0154403392791194,0.0160538317582117,1.2359251685994943e-05
ARID3A,0.0937252313955032,0.0285864828563283,0.0932203024307238,0.044144590550966,0.1090102008802106,0.0031172670462256,0.0931688480979668,0.0546293820963108,0.0932385442210803,0.0386404241228604,-0.015988957973450395,-6.96961231134996e-05
ARNTL,0.1626614219073571,0.004615150991157,0.1615969938692401,0.0435343341970224,0.1835532069429819,-0.0158261353861553,0.1615841040488458,0.0483433943518077,0.1616083316544443,0.0533548471560979,0.0050114528042902035,-2.4227605598503565e-05
ATF3,0.1061724870961297,0.0982786248480524,0.105951851564712,0.1031148063437106,0.1122226728123388,0.0189692685946324,0.105146519140555,0.1026661157856896,0.1053543230940037,0.0867085395494142,-0.015957576236275403,-0.00020780395344868752
BARX1,0.2099553121419471,-0.0209418833689865,0.2086393163673519,0.0001179291521791,0.223356017623574,-0.001223165162362,0.2085465521329167,-0.0317960167226394,0.2085311697046154,0.0180112632188082,0.0498072799414476,1.538242830129155e-05
BBX,0.3129923577712305,0.0176888947677514,0.3100496947131738,0.0165654090907568,0.2923086312286374,-0.0230983906432073,0.30547145662188,0.0455147858958372,0.3054915612613564,0.0019725417100279,-0.0435422441858093,-2.0104639476381525e-05
BCL11A,0.2600209545919443,0.0170143376806935,0.2579973114034011,0.0013118270103255,0.2629530258626265,0.0205566892192641,0.2575440843365556,0.0417818029088785,0.2577124116573182,-0.0077693093741187,-0.0495511122829972,-0.0001683273207625513
BCL11B,0.3079286694470097,0.0696685239521038,0.3069945617200669,0.0744604807307077,0.3176998868946403,0.02157048740486,0.306789995017327,0.0849581406740571,0.3074579012734144,0.0601177077130453,-0.0248404329610118,-0.0006679062560873694
BHLHE40,0.1411497959198525,0.0272159200160754,0.140741589536688,-0.0032221927029764,0.1574308631922379,0.0163745415108821,0.1405334344998266,0.0272504926385518,0.1405749344618254,-0.011065637926439,-0.0383161305649908,-4.149996199878658e-05
BHLHE41,0.142788673198223,-0.0053619584160492,0.141652749390282,-0.0374515353547142,0.1626822706922291,-0.0017798002423275,0.1412536489521847,-0.034798186924051,0.1412448658345752,-0.0111668417866695,0.023631345137381497,8.78311760948991e-06
BID,0.1132623220525659,0.0441742641452142,0.1115008994215537,0.0203495838001224,0.1003603914218159,0.0430046236746045,0.1046117698819445,0.0135327545784956,0.1046075101919842,-0.016317681867256,-0.0298504364457516,4.259689960303681e-06
BNC1,0.0975459916031286,0.0194309237708946,0.0972549905448309,0.019229458719068,0.1114150565835876,0.0008932407775512,0.0972351220668729,-0.011329722329174,0.0972304102101666,-0.0288893184720972,-0.017559596142923198,4.711856706307582e-06
BNC2,0.1276771504639029,0.0181892280854709,0.1271905346171786,0.0183979049870077,0.1501874017376517,-0.0036013544303238,0.127055573573655,0.0419943385037278,0.1270800590974704,0.0427720504270731,0.0007777119233452964,-2.448552381539848e-05
BPTF,0.1325334710091958,0.0058343908602044,0.1319777569838984,0.0070221763062962,0.1511138559207263,0.0249517808751541,0.131865443181972,0.023980682150133,0.131890722050094,-0.0088794997243277,-0.0328601818744607,-2.5278868122008413e-05
BSX,0.1893272514850615,0.1006582353168968,0.1884667341739624,0.1256304308368835,0.2112765521128349,0.005797061775816,0.1887006444538654,0.1182014408802822,0.1889110135152088,0.1097832015518427,-0.008418239328439506,-0.00021036906134341837
CARHSP1,0.1711505022107266,0.014505377226417,0.1546077805580336,-0.0048562496188491,0.1273316810921003,0.0023578894958722,0.1427003669844359,-0.0128078576930589,0.1441921873876656,-0.0028252317296994,0.009982625963359502,-0.0014918204032297044
CASZ1,0.2590945733407794,0.0208517902817344,0.2564344769918198,0.0043561090790286,0.2559618804798889,-0.0247296451833934,0.2570261138893382,-0.0175928046983025,0.2569388608188652,0.0228295280345224,0.0404223327328249,8.725307047302566e-05
