perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Best_RMSE_Model,Best_Pearson_Model
MYC,0.1892085256116839,0.2689306646403621,0.189455744266573,0.2448465383099864,0.1934951716721718,0.2421993819538807,0.1872758323211616,0.2866219535376654,0.1750329803698956,0.4472360002072866,ElasticNet_1024,ElasticNet_1024
HELZ2,0.2305161416529653,0.2503055237354741,0.2292982045000036,0.2594585446261808,0.2362677405286299,0.2567101588256489,0.2290942097155392,0.255670702225727,0.2148668198494231,0.420818481394385,ElasticNet_1024,ElasticNet_1024
FOSB,0.1520668889924403,0.2262252915329105,0.151893365481759,0.221267182946405,0.1789741096585001,0.1308485203241805,0.1508829209624456,0.2482778294626808,0.1472368403421118,0.3262412052347264,ElasticNet_1024,ElasticNet_1024
GATA3,0.1415767909177975,0.2287061450596667,0.1417681677895926,0.2223604328043188,0.1689732018527492,0.1269259226008533,0.140837832031491,0.243778687849547,0.137806182028891,0.3156146489641896,ElasticNet_1024,ElasticNet_1024
NEUROD1,0.1576397670404182,0.1892269992265995,0.1560742385987071,0.2183819040255574,0.1701500622076709,0.1318845438020967,0.1555391842938244,0.2354433893366911,0.155104649622404,0.2522694849180603,ElasticNet_1024,ElasticNet_1024
IRF1,0.2212621808583853,0.2296061642147707,0.2171927239965195,0.2663599320850999,0.2486937000606786,0.3360974829304506,0.2173661274653784,0.2267653505124282,0.207182644426212,0.3741536638300274,ElasticNet_1024,ElasticNet_1024
MXI1,0.1844646713525592,0.2278637632461599,0.1840062319830761,0.2267249237152036,0.1996068931110719,0.2021567929475306,0.1842542820499232,0.2219995574059162,0.1790211209888094,0.3202858188806902,ElasticNet_1024,ElasticNet_1024
ZNF296,0.1587847380678199,0.1940136680042929,0.1586160885760134,0.2010782822295808,0.1848527686097718,0.1283900533562479,0.1578497589524078,0.2169167849800334,0.1551335312121322,0.2811872586212965,ElasticNet_1024,ElasticNet_1024
FOXL2,0.1580521607478204,0.145118743343195,0.1533891887801756,0.1947991258414925,0.1803660280991219,0.1709702127284749,0.1528355831474688,0.215264693957289,0.151565885259289,0.2528003074202834,ElasticNet_1024,ElasticNet_1024
FOXF1,0.180451648046806,0.2085653351810724,0.1811625988220019,0.1876313985711319,0.212318230081821,0.1377151340912936,0.1799820879773528,0.2126208035140458,0.178122305871483,0.2549472236358038,ElasticNet_1024,ElasticNet_1024
FOXI3,0.1704032059364008,0.1611504618265958,0.1695912679602338,0.1792260488787392,0.1963961784884328,0.1542437766471975,0.1685033949059169,0.2113223272320364,0.1664720642294194,0.2638287268493789,ElasticNet_1024,ElasticNet_1024
HES7,0.3445491297925078,0.1507456738768389,0.3423684898489258,0.1768138328212865,0.3845308756640935,0.1174664771522679,0.340433722537088,0.2002776731227356,0.3366806394832276,0.2527545546966182,ElasticNet_1024,ElasticNet_1024
HIVEP1,0.1468699800778605,0.1885935588693629,0.1463794886663676,0.2040047985094482,0.16886388927248,0.1053295107954276,0.1467235846844464,0.1948662859948298,0.1458931694470326,0.2271302085670719,ElasticNet_1024,ElasticNet_1024
YAP1,0.0899078130794246,0.1873188574322204,0.0898262183657641,0.1862733221432516,0.1076980469967909,0.0921605974345985,0.0897844146845635,0.1921061167359084,0.0888293818056614,0.2470928812700309,ElasticNet_1024,ElasticNet_1024
FOXF2,0.1444506975569029,0.1721922648640839,0.1450950966503376,0.1380536276591724,0.1674583193446182,0.120534706808882,0.1440870948610915,0.1840150400305359,0.1429428445997954,0.2221871684567761,ElasticNet_1024,ElasticNet_1024
PAX5,0.1830101618671422,0.1070323637249438,0.1825770341596654,0.1167323054451505,0.2028314593436078,0.058694949706411,0.1805842641723002,0.1802914817672934,0.180870980695804,0.1707801050391858,ElasticNet,ElasticNet
ONECUT3,0.1278568844591175,0.146591051541885,0.1264641084991208,0.1998691237560099,0.1478387533342792,0.0025329063945711,0.126917059439195,0.1780486764221588,0.1261648649202616,0.2096410461734766,ElasticNet_1024,ElasticNet_1024
THRA,0.1301607985052535,0.1579971801485676,0.1302738138112739,0.1260959687620902,0.1443544725129948,0.077248778841985,0.128802854986898,0.1760295056658848,0.1282534270314781,0.2000310710740374,ElasticNet_1024,ElasticNet_1024
STAT2,0.2279563925967015,0.1314993609587721,0.2269183561744042,0.1516617232353214,0.2363877571827564,0.1349222762850505,0.226265533783299,0.1724088681162592,0.225932914266555,0.1918894105688292,ElasticNet_1024,ElasticNet_1024
MYCN,0.2142058923889737,0.1626785651730873,0.2145689158123866,0.1496554823971762,0.2312324414901713,0.0781357896750252,0.2135856111471786,0.1713850975000302,0.2082964209110682,0.2784991872094094,ElasticNet_1024,ElasticNet_1024
FOXP4,0.1483808089853137,0.1565820277720775,0.1484413217813249,0.1683343328239249,0.1727227206169309,0.0184157934410185,0.1479286320697458,0.1702914790546972,0.148033220891143,0.1669252992270198,ElasticNet,ElasticNet
MYBL1,0.1596346134320781,0.1567452676272166,0.1595598609972461,0.1554139249342577,0.1901445504469936,0.0618164268820411,0.1593712948243656,0.1678258732994303,0.1584319424766572,0.1995488594999244,ElasticNet_1024,ElasticNet_1024
