perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
AFF1,0.1004801748896297,0.0678091342800549,0.0999414497367589,0.0939075741448997,0.1100988428707897,0.0766643295354057,0.0996516106083826,0.1096829269325909,0.0994182461317113,0.1329901383415905,0.02330721140899962,0.00023336447667129945
ALX1,0.1122342773039672,0.0076177593152182,0.111707367474824,0.0371257366182753,0.1341065544803658,-0.0858729809653945,0.1117229029875956,0.034353278460178,0.1117717983277904,0.0029580803003704,-0.031395198159807604,-4.889534019479613e-05
ALX4,0.1382977186820112,0.0292061474907997,0.137312251855443,0.0360073343924394,0.1805153435536907,-0.0414796141893607,0.1374185989524478,0.0341268435895275,0.1374784039646696,-0.0159866689182378,-0.0501135125077653,-5.980501222180301e-05
ARID1A,0.1460548697783676,0.0871667865905181,0.1459620696166813,0.0808400415470128,0.1727947718181844,0.0403897516055171,0.1459366003529039,0.084081556325791,0.1462293798971586,0.0742017013366073,-0.009879854989183687,-0.0002927795442546899
ARID3A,0.0933665048126477,0.041132041719596,0.0932094802635433,0.0085691557104903,0.1045564462394064,0.0203631168206261,0.0930791662559395,0.0658866077192953,0.0931388278082973,0.0447678885756605,-0.021118719143634807,-5.9661552357800907e-05
ARNTL,0.1619902851831665,0.0380533334097095,0.1612550504206627,0.0654449100532937,0.1854958269182916,-0.0034863627244242,0.1609979393984352,0.0913585795908146,0.1612890746672295,0.0859141945557496,-0.0054443850350650025,-0.0002911352687942903
ATF3,0.1059070499054236,0.1118981900803331,0.1046617843536411,0.1112597398643503,0.1161674751163056,0.0383332773203661,0.1044546770946696,0.1379777665463237,0.1044944358854706,0.1339703072612515,-0.004007459285072207,-3.975879080099498e-05
BARX1,0.2096375194273932,0.0390410584526665,0.2083698046212306,0.0364863210018986,0.2361368462593483,0.0723996819437252,0.2076569482435291,0.097741751406589,0.207585029084255,0.1023740277508081,0.004632276344219102,7.191915927409753e-05
BBX,0.3132835570938792,0.0038330255018805,0.3057259590668492,0.0206674596805111,0.2717300224708589,0.0395065542773666,0.3058119861824694,-0.0061812619774748,0.3057719359585522,0.0193773540246428,0.0255586160021176,4.0050223917231786e-05
BCL11A,0.2580588147031438,0.0345237735126704,0.2575124921195665,0.0424468644349428,0.2775978257487885,0.0192981614679208,0.2573107422696916,0.0500181118641679,0.2571827270410346,0.051274217572934,0.0012561057087661018,0.00012801522865696358
BCL11B,0.3095679252897508,0.0450626376755546,0.3079775761398184,0.0245152856363223,0.3362415027523664,-0.0276951256766288,0.307981582289938,0.0087915450937757,0.3075048949543736,0.067046736606323,0.0582551915125473,0.00047668733556438525
BHLHE40,0.1408506374126741,0.0282766559126755,0.1403565280303192,0.0459736125272393,0.1528618540939177,0.0484683909405344,0.140507247225415,0.0298648665923282,0.1405246637001074,0.0085168992797876,-0.0213479673125406,-1.7416474692416584e-05
BHLHE41,0.1418138368262456,-0.0083965677294117,0.1410797194464421,0.0206308318650489,0.1589995726565249,-0.0010007457127084,0.140959017143861,0.040714686085038,0.1410489060701784,-0.0296666433220983,-0.07038132940713629,-8.988892631739409e-05
BID,0.1132047067344263,0.0598889580465502,0.1080930819868099,0.0394139576922815,0.1074430952757465,0.0585091712802018,0.1048549893269883,0.0721753400724304,0.1050839532765579,0.0194181831191807,-0.0527571569532497,-0.0002289639495696022
BNC1,0.0973459495422636,0.0320258929292299,0.0971204752567374,0.0274929620216272,0.1152969115918452,0.0385223983894423,0.0970971096529721,0.0256890545923566,0.0971484383710817,-0.002153345006809,-0.0278423995991656,-5.132871810960282e-05
