perturbation,mean_cor,mean_sqrt1mse,lambda_min,lambda_1se
AFF1,0.0315490367533212,,0.019218114073548,0.0892025836868768
ALX1,0.015206479149716,,0.0655718565523606,0.0962463230241743
ALX4,,,0.0616192387535695,0.0904446735139188
ARID1A,,,0.0751788966327125,0.0751788966327125
ARID3A,,,0.0546774241259007,0.117798939298427
ARNTL,0.0625697560629354,,0.048932623993554,0.105422142605999
ATF3,0.103951352196664,,0.015589491614481,0.155894916144811
BARX1,,,0.0600955203627506,0.0600955203627506
BBX,0.0442014906414739,,0.0879916021694674,0.129154009221237
BCL11A,0.0352050794699224,,0.0276510149047361,0.0874401867142298
BCL11B,0.0781638330795856,,0.0354337872758527,0.164469071352208
BHLHE40,,,0.0743207665263322,0.109087966676461
BHLHE41,,,0.0652734622327692,0.0652734622327692
BID,,,0.0754359516168001,0.110724834535513
BNC1,,,0.0807392377331312,0.0807392377331312
BNC2,,,0.0423036014825052,0.0911403465471933
BPTF,,,0.0503395046645014,0.108453175128224
BSX,0.115429612325246,,0.0331521362793161,0.225862875194268
CARHSP1,,,0.0235139199055243,0.0506592047430929
CASZ1,,,0.0635010487192845,0.0635010487192845
CDX2,,,0.0352142521395747,0.0758668063930293
CEBPA,,,0.02594903018236,0.120444728737523
CEBPB,0.0709901726072889,,0.0317617624282183,0.14742504182268
CREBBP,,,0.0760701407114448,0.0760701407114448
DLX2,,,0.073406731966108,0.073406731966108
DLX3,0.0472918186193948,,0.0421458297790469,0.0908004377161574
DMRT1,,,0.0853818011191388,0.0853818011191388
DNAJC1,,,0.035382086362814,0.0762283942657506
EBF2,,,0.0338441709729216,0.107024665794589
EBF3,0.0658277095290073,,0.0362201044591007,0.114538027179979
EGR2,0.0401255244543534,,0.0800227220442461,0.117457292809669
EGR3,0.103106305969428,,0.0494236118637832,0.229404084943748
ELF4,0.0398178377099386,,0.0317994530865267,0.100558700101096
ELK3,0.0649972347072435,,0.0276027187059394,0.128120470922843
EOMES,,,0.0898808742518362,0.0898808742518362
EP300,0.0782839917516226,,0.0488505647428733,0.154479049572997
EPAS1,0.102953884767136,,0.0369646578147545,0.171574742951282
ESX1,,,0.0592174102768014,0.0592174102768014
ETS1,0.0852002388225479,,0.0263263412210666,0.179359274812264
FEZF2,0.0349487969130844,,0.0551739388943009,0.118868647939581
FLI1,,,0.0514218166241079,0.110784945559436
FOSB,0.19037493142911,,0.0267485784404244,0.267485784404244
FOSL1,0.054361404004936,,0.0345981343319352,0.109408907281383
FOSL2,0.0768502161772165,,0.0286384749234639,0.13292802541645
FOXA3,,,0.0508649667054389,0.109585248777514
FOXC1,,,0.0721750533793531,0.0721750533793531
FOXC2,,,0.042784699028347,0.0921768397892443
FOXD1,,,0.0808975954991232,0.118741431426
FOXD2,0.0837200573075204,,0.0358958253246375,0.166613662000152
FOXD3,,,0.0349020811704822,0.110370071578799
FOXE1,,,0.0678536066503913,0.0678536066503913
FOXE3,0.0769220860516437,,0.0165430993437431,0.165430993437431
FOXF1,0.149834845999506,,0.026932912462691,0.26932912462691
FOXF2,0.149241256280537,0.129983157112038,0.0395251490480335,0.26928170574759
FOXI3,0.118902387879207,,0.0295148271401261,0.201082176501846
FOXJ1,,,0.12904178714504,0.12904178714504
FOXL2,0.123552900049238,,0.0249763626283614,0.170161977726183
FOXP4,0.0780437700994267,,0.049407859354771,0.156241369874334
GATA2,0.0862829757987401,,0.0423045352476344,0.196360258416598
GATA3,0.142905650014455,0.124945724091396,0.0492455273640271,0.228577489918241
GATA4,0.0708604257821128,,0.0361617226183958,0.167847847909749
GATA6,0.0921329878510526,,0.043955055884554,0.204021296574572
GFI1,0.0721381574552875,,0.0467908992559206,0.147965815416187
GLI1,0.063868926777666,,0.0736527011532347,0.15867993437908
GLIS3,0.068863875342092,,0.0275147778523516,0.127712285638811
GSC,0.0882183604081636,0.0821446488952416,0.0268753223142652,0.183099439460854
GSX2,0.0699178508165947,,0.0352615004053407,0.163669386537862
GTF2B,0.0956024696874892,,0.0469855277735579,0.148581284829543
HAND1,0.0490545952266439,,0.0356998621408238,0.112892876519018
HELZ2,0.249943354179336,0.223943789536255,0.0126780425289049,0.273140146259723
HES4,,,0.0741296533202876,0.0741296533202876
HES5,0.0431957899810851,,0.055369117985149,0.119289148543673
HES7,0.107716953711611,,0.0167569842485599,0.167569842485599
HHEX,,,0.0422770027395483,0.133691621302151
HIC1,0.052145222702801,,0.053684484618178,0.115659715977886
HIVEP1,0.109310096367392,,0.0395988608974624,0.183801630565447
HMGA1,,,0.0419747855063115,0.0904319340014451
HMGN2,0.107539692446479,,0.0169144135829122,0.169144135829122
HMX3,0.040524873927443,,0.0544191791168514,0.0798764312523088
HNF1B,0.0691792739372615,,0.0630253098080983,0.135783913800574
HNRNPAB,0.0556769785440922,,0.0458211725358714,0.0987187236492175
HOXA13,0.0582452527026215,,0.0341378367414644,0.107953318494008
HOXC9,,,0.0540233902945786,0.0540233902945786
HOXC13,,,0.0652256372550811,0.0652256372550811
IFI16,0.138874980076017,,0.0221733825383821,0.102919724793579
IKZF2,,,0.0862345217457814,0.0862345217457814
IKZF5,0.0624579285748649,,0.0332481670471876,0.154324320904318
INSM2,,,0.0158383467609143,0.158383467609143
IRF1,,,0.0848078181541066,0.0848078181541066
IRF4,0.0344292245400777,,0.0197061298623764,0.0914677523229297
IRX3,,,0.0583153248710708,0.125636558862714
JDP2,,,0.0616459839123552,0.0616459839123552
JUN,,,0.0603006424786873,0.129913795987294
JUNB,0.0535544155875628,,0.0374324540793236,0.118371813300324
KLF2,,,0.0367274636251543,0.0791269217109166
KLF3,0.0233068486075879,,0.0416948795701624,0.0898288949426596
KLF5,,,0.0636054400085292,0.0636054400085292
KLF8,0.040218982078862,,0.03855924620071,0.121935042853438
KLF15,0.0942291440675942,,0.0317278219759374,0.21615913480689
KLF16,,,0.0280422553563412,0.0886773976540949
LBX1,,,0.0976852908134651,0.0976852908134651
LHX2,0.0809037568189828,,0.0161668926183692,0.161668926183692
LHX4,,,0.0804457093854982,0.0804457093854982
LHX6,,,0.0559127920395436,0.120460458786531
LHX9,,,0.0715722711165033,0.105053727126852
LYL1,,,0.0334306267515502,0.105716924141854
MBD4,,,0.0545288049041942,0.0545288049041942
MECOM,,,0.0559634137649311,0.120569519987776
MESP1,0.0568313000816696,,0.0344775140577598,0.160030444261225
MKX,0.0478202275902318,,0.0555248019232855,0.119624559420675
MLXIP,,,0.0427039614349368,0.0920028959172116
MMP3,,,0.0766014083417318,0.0766014083417318
MNX1,,,0.0410968598154634,0.129959681697512
MXI1,0.146264503553932,,0.0354869097680267,0.241769501803321
MYBL1,0.0882755218028536,,0.0260414437724207,0.17741829108969
MYC,0.185668974975639,,0.0162113028400419,0.349261932091986
MYCN,0.104480727117915,,0.0320032998817486,0.218035943931189
MYOD1,0.0469488193789483,,0.0395063548017657,0.124930063224309
MYRF,0.0551073296570994,,0.0427737770863415,0.13526255972116
NCOA3,0.0509418274591194,,0.0478219898044102,0.103029353780972
NEUROD1,0.0964914990493375,,0.0192484575494537,0.131138214700417
NEUROD2,,,0.086824923718808,0.086824923718808
NFATC1,,,0.0157381780200803,0.073050151359415
NFE2,,,0.0895786196555182,0.0895786196555182
NFE2L2,,,0.0381062469448251,0.0820974203248527
NFKBIA,0.0271767517133831,,0.0299483442973881,0.0947049801306614
NHP2,,,0.0719260952384047,0.0719260952384047
NKX1-2,0.0899310397742567,,0.0341588640165883,0.158551401788293
NKX3-1,,,0.0687085939625963,0.0687085939625963
NKX3-2,,,0.0247476722994225,0.0782590112536316
NKX6-2,,,0.0644934636868719,0.0644934636868719
NME2,,,0.0681582228997539,0.100042589654681
NOTO,0.0773586759913683,,0.0252540199941849,0.172053635338693
NR2F2,0.0948568554471035,,0.0196713940659443,0.134019647644417
NR4A1,,,0.0293593156749095,0.0928423080765976
NR4A3,,,0.0727269764555093,0.0727269764555093
NSD2,,,0.0766002497731415,0.0766002497731415
ONECUT3,,,0.0299575495157696,0.0947340895871063
OSR1,0.0620040161969855,,0.0458817381954647,0.145090795705212
OSR2,0.0419881058030873,,0.037002803843358,0.117013139957444
OVOL1,0.054785151043331,,0.0190359380753352,0.0883569976078202
OVOL2,,,0.0170707347653027,0.0792353318681944
PARP1,,,0.062737518066384,0.0920860830702648
PAX2,0.128682140383063,,0.0223917315018929,0.223917315018929
PAX3,,,0.0397687125235981,0.0856790938387452
PAX5,0.0897299535746527,,0.0365334088301125,0.169573062479661
PDX1,0.0898351855378137,,0.0275537154358059,0.187721277994945
PHOX2A,0.120469354375205,,0.045725612206859,0.212239491029465
PITX1,,,0.0538562457833695,0.116029764190575
PLAG1,0.129033729822186,,0.0278594086490226,0.189803941612239
PLAGL1,,,0.0380268406544275,0.120251428688279
POU4F2,0.0516173720292397,,0.0750958514032729,0.11022563569118
PPARGC1A,,,0.0621023442658554,0.0621023442658554
PRDM1,0.165115855979469,0.157062280482778,0.0172325037965463,0.172325037965463
PRDM16,,,0.0575281394546349,0.0575281394546349
PROX1,0.0587637826588004,,0.0264431123258604,0.122738054897682
PRRX2,0.0588408669609322,,0.0277771298008771,0.128930015513564
PSAP,0.0872560838432202,,0.0338930356649543,0.157317535879692
PTF1A,,,0.0531698816407092,0.0531698816407092
RBMS1,,,0.102695126720294,0.102695126720294
RBPJ,,,0.0310867437831455,0.0983049153928193
RERE,0.111513757314152,,0.0295532820283483,0.201344166605469
REXO1,0.0485163801697292,,0.0645322077150615,0.0947203272222025
RREB1,0.0543472637659863,,0.0210200264731313,0.143207773275328
RUNX1,0.0506369202001184,,0.0515998621572497,0.111168533032442
RUNX2,,,0.073057754954958,0.073057754954958
SALL1,0.0518562589696801,,0.0557128592212439,0.120029716587111
SALL3,0.0226007072961973,,0.0534823110429814,0.115224146214074
SATB2,,,0.0664980291810751,0.0664980291810751
SIX4,,,0.040511199828146,0.0872787342445714
SMAD1,0.0861435499875515,,0.0309103624319128,0.143473193106891
SMAD5,,,0.0985286292382802,0.0985286292382802
SMAD6,,,0.0262423094413182,0.121806010471034
SMARCA1,0.0726177531697529,,0.0265207693565693,0.123098506904272
SMARCA2,,,0.0728678242325975,0.0728678242325975
SNAI1,0.0742274666523892,,0.035954866963779,0.16688770901311
SOX8,0.0177140207426265,,0.0335807949396063,0.106191797648212
SOX9,0.0709662254333664,,0.0343005659988106,0.159209124126678
SOX11,0.0454326720506281,,0.0566983223745382,0.122152832590316
SOX12,,,0.0479562705103986,0.103318652792156
SOX13,,,0.0467866119252325,0.10079869976078
SOX15,0.0567024171170549,,0.00981570896387379,0.144074904283653
SOX17,,,0.0505983546236058,0.109010850459632
SOX18,,,0.0744228999049265,0.109237877974762
SP3,0.0662853280624559,,0.0405596905325273,0.128261003274354
SRF,,,0.0356097066839855,0.0767187873818387
STAT2,0.109462103741066,0.0888340874746648,0.0100388381901245,0.216280212444211
SUZ12,0.0991476147265309,,0.0270472899650422,0.184271041426942
TBX3,0.0697746621112547,,0.0230044367673786,0.156727403227604
TBX5,0.113634986212893,,0.0279590047529762,0.190482481969565
TBX18,,,0.0608026372343769,0.0892460664021087
TBX20,,,0.0909426500897922,0.0909426500897922
TBX21,0.0528404448911435,,0.0494563734724159,0.106550526652146
TCF7L1,,,0.0445066064046513,0.095886576773776
TEAD3,0.0746461331452455,,0.0241619439086826,0.164613407580088
TFAP2A,0.057576450551797,,0.0532784839357873,0.114785014023567
TFAP2C,,,0.0821638845242727,0.0821638845242727
TFAP2E,0.0679533756669306,,0.0584274092170352,0.125878037265869
TFCP2L1,,,0.0527622199756495,0.113672757038633
TGIF1,0.0464405071985064,,0.0672394315856286,0.0986939884367098
THRA,0.129228229745703,,0.0288333650516982,0.19643942933975
TLX1,0.0493609332495203,,0.0663535412330855,0.0973936792260537
TONSL,,,0.047218761972064,0.101729738812973
TOX,,,0.0305575648995409,0.0966315048309635
TP73,,,0.054376268719449,0.117150119643677
TRIM22,,,0.0301026037634574,0.064854093808277
TRIM24,,,0.0531378322513729,0.114481989155453
TRIM28,0.0930652044621298,,0.0373804901246612,0.1735048655576
TSC22D1,,,0.0698397994852191,0.0698397994852191
TSHZ1,0.0794847641056679,,0.0780484160151702,0.168150214965123
TWIST2,,,0.0750961055631478,0.0750961055631478
VENTX,,,0.0829064835372179,0.0829064835372179
YAP1,0.175765949422578,0.162830990317518,0.0243788872339653,0.243788872339653
YBX1,,,0.105091650981687,0.105091650981687
YBX3,,,0.0815237837221459,0.0815237837221459
YWHAZ,0.14845282295514,,0.0244304864888226,0.244304864888226
ZBTB7A,0.0898800251429671,,0.0192861593001886,0.192861593001886
ZBTB10,,,0.0741448289105375,0.0741448289105375
ZBTB18,,,0.071763581151017,0.1053345318554
ZBTB37,,,0.0616040388435487,0.0616040388435487
ZBTB42,,,0.0678177972500088,0.099542913135305
ZEB2,0.0632599877186583,,0.0452967191703294,0.09758882312519
ZFP36L2,0.0659723823333451,,0.027221242840339,0.126349816804779
ZFPM2,0.0387445300996212,,0.0365391497705615,0.115546937040993
ZIC2,,,0.0545103364283195,0.11743895976648
ZNF136,,,0.0840348690868533,0.0840348690868533
ZNF286B,0.0665823278992745,,0.0574557878098287,0.123784742400606
ZNF296,0.146846299891353,0.123284253445173,0.023844530795676,0.162450897215024
ZNF618,0.0893351604654663,,0.0376741436784191,0.174867884613673
ZNF777,,,0.070576967999128,0.070576967999128
ZNF827,,,0.0725311767998664,0.0725311767998664
