perturbation,mean_cor,mean_sqrt1mse,lambda_min,lambda_1se
AFF1,0.103564916687047,,0.0231882616954285,0.157979787883359
ALX1,,,0.0386334102347984,0.0832331592040826
ALX4,,,0.0293790795250035,0.0929048068582287
ARID1A,0.0859008273390733,,0.0339086222462046,0.157389882381177
ARID3A,0.0551641534992597,,0.025889609299092,0.120168921429263
ARNTL,0.0881609475980657,,0.0223398919249101,0.103692592902779
ATF3,0.133223181252908,,0.0305275269080479,0.207981619704066
BARX1,0.0917857247762779,,0.0305857295463133,0.141966380730068
BBX,,,0.037745399622032,0.055402669921321
BCL11A,0.0383718804123732,,0.054884082759458,0.118244171827557
BCL11B,,,0.0488697716881684,0.105286731418928
BHLHE40,,,0.0253353870915752,0.117596449819513
BHLHE41,,,0.0551844348329358,0.118891260753881
BID,0.057852043563297,,0.0262309527938116,0.12175329758278
BNC1,,,0.0462496776022473,0.0996419098290723
BNC2,0.0539242686268003,,0.0538694118627579,0.116058129648741
BPTF,0.0499368184234755,,0.0377720675031651,0.119445765243631
BSX,0.136113649579938,,0.0123401739137545,0.181128982329378
CARHSP1,0.0780028806390215,,0.0368587195279957,0.116557505345793
CASZ1,0.0543790996222787,,0.0312712140560725,0.0988882616158616
CDX2,0.0924950540534296,,0.0295856823629388,0.137324572890631
CEBPA,0.0979400154204979,,0.0373867366139193,0.17353385919239
CEBPB,0.0814000140470802,,0.0335512773013734,0.155731234075501
CREBBP,0.0744377393644246,,0.036147421465901,0.167781467840021
DLX2,0.0490827201413979,,0.044577731387506,0.096039810904166
DLX3,0.037864211523247,,0.0229853901986179,0.106688730482138
DMRT1,,,0.0540246814378029,0.116392647807524
DNAJC1,,,0.0630092794779361,0.0924849742711089
EBF2,0.0914073366420111,,0.0196394195767474,0.196394195767473
EBF3,0.0814179727359009,,0.033832303075356,0.157035640169976
EGR2,,,0.0203575837220834,0.138694603350389
EGR3,0.0881440080241042,,0.026036375879319,0.17738376393592
ELF4,0.0892158776303869,,0.0247398389106886,0.114832160033231
ELK3,0.101855478136152,,0.0392279535423131,0.182080031127482
EOMES,0.141541366118798,,0.0132766948631067,0.194875229965097
EP300,0.13152757737905,,0.0204175336073953,0.139103037164428
EPAS1,0.10910134718899,,0.0157221227677163,0.107113575504007
ESX1,0.0668446458810386,,0.0550251657774028,0.118548125975592
ETS1,0.15425295315498,0.139147674971001,0.0118956004209576,0.174603535858063
FEZF2,0.103119146814687,,0.027510193314394,0.18742476523348
FLI1,0.133718994612433,0.119077433414361,0.0171408289095144,0.171408289095144
FOSB,0.252053223532478,0.237675735820994,0.0178389589374082,0.261840108634679
FOSL1,0.0575264380234767,,0.0371567962021327,0.117500106553434
FOSL2,,,0.0789783493221633,0.0789783493221633
FOXA3,0.0707204072371594,,0.0268500236019534,0.124626769733066
FOXC1,,,0.041987437440173,0.0904591917666522
FOXC2,,,0.0351987727957209,0.111308292877251
FOXD1,0.103578458656167,,0.0348070824341048,0.16156016515678
FOXD2,0.0992451414608689,,0.0288660349006925,0.133984265265731
FOXD3,,,0.0427669905294428,0.0921386879848966
FOXE1,,,0.0113738401004289,0.113738401004289
FOXE3,0.0654122767686592,,0.0444950955655981,0.140705846694148
FOXF1,0.215079284599574,0.208077821263996,0.0279794257101933,0.190621608331511
FOXF2,0.182008818426864,,0.0173583910974125,0.254786337398796
FOXI3,0.208009667701523,0.19673972392201,0.0149139590008149,0.218906980987417
FOXJ1,0.0615697344506082,,0.0405490793545026,0.128227447783138
FOXL2,0.217710167644745,0.194336693396674,0.0159030637886226,0.233425053818873
FOXP4,0.163608317836212,0.125005297964536,0.0256213289258198,0.256213289258198
GATA2,0.129803506625679,,0.0209894532884614,0.209894532884614
GATA3,0.240894886110001,0.233688048816331,0.0123715609845601,0.181589681524791
GATA4,0.144000851223298,,0.011658466535421,0.171122886422874
GATA6,0.136728834399003,,0.029769310208608,0.202815949464508
GFI1,0.0708744939310035,,0.0244340438645915,0.113412785161893
GLI1,0.136050696063204,,0.022287531142819,0.22287531142819
GLIS3,0.156917038735286,,0.0139642961085796,0.204967836010308
GSC,0.108672895697974,,0.0165879310432962,0.165879310432962
GSX2,0.0792940136779241,,0.0204501664134669,0.139325361884105
GTF2B,0.0558304985141253,,0.0339706757622896,0.107424709063912
HAND1,0.0843081285741583,,0.0376014525869401,0.118906233505561
HELZ2,0.258829719991304,0.248278570326138,0.0186448664240197,0.186448664240197
HES4,,,0.0843296377304199,0.0843296377304199
HES5,0.105144010821624,,0.0287164607156244,0.133290003398522
HES7,0.193176852355233,0.178635603875291,0.0173281272595535,0.254342125008346
HHEX,0.142536039765752,,0.00761609826538388,0.164083863056347
HIC1,,,0.0903776938541506,0.0903776938541506
HIVEP1,0.193322342657649,0.182844409619454,0.0167223672692641,0.113928161964241
HMGA1,0.0543509929620414,,0.0247348152879468,0.0782183538134654
HMGN2,0.104600269461204,,0.0140455908296522,0.140455908296522
HMX3,0.0536460093928158,,0.0385490909774293,0.121902929217723
HNF1B,,,0.0775338885100958,0.11380418477101
HNRNPAB,0.0657396245493466,,0.0209202517492735,0.14252801599476
HOXA13,,,0.0262690900454067,0.121930315023929
HOXC9,0.0553429558534919,,0.0192361867327191,0.131054614599195
HOXC13,,,0.0761940930872751,0.0761940930872751
IFI16,0.0428028206147637,,0.0963583230669426,0.141434676026949
IKZF2,0.0457835537797793,,0.047239381388616,0.101774161999281
IKZF5,0.0880530962518213,,0.03345872854174,0.155301660786222
INSM2,0.0992736430055026,,0.0569745405823105,0.180169316881797
IRF1,0.22818485749438,,0.0203453832681458,0.203453832681458
IRF4,0.105853499216194,,0.014201160378329,0.14201160378329
IRX3,0.0530526403275005,,0.0216689467055017,0.100578341064407
JDP2,0.074560457220325,,0.0308418673993465,0.143155267328573
JUN,0.0905902725574652,,0.0153960657556172,0.153960657556172
JUNB,,,0.0283212826923905,0.0895597595654598
