perturbation,feature,coefficient
AFF1,(Intercept),0.168537733064815
AFF1,V1,0
AFF1,V2,0
AFF1,V3,0
AFF1,V4,-0.2187506240221
AFF1,V5,-0.324113497379711
AFF1,V6,0
AFF1,V7,-0.144979607573341
AFF1,V8,-0.169066186271547
AFF1,V9,0
AFF1,V10,-0.402488729734809
AFF1,V11,0
AFF1,V12,0
AFF1,V13,-0.374704700714659
AFF1,V14,-0.00315755061472082
AFF1,V15,0.167394289963328
AFF1,V16,0
AFF1,V17,0.00559952290651042
AFF1,V18,-0.101464466144916
AFF1,V19,0
AFF1,V20,0.427413451925279
AFF1,V21,0.278404137134085
AFF1,V22,0
AFF1,V23,0.268870451192122
AFF1,V24,0
AFF1,V25,0.570416272059863
AFF1,V26,-0.390856329164965
AFF1,V27,0
AFF1,V28,0.0425015088742048
AFF1,V29,0.287235705149157
AFF1,V30,0
AFF1,V31,0
AFF1,V32,-0.435956019361476
ALX1,(Intercept),-0.0187512175583857
ALX1,V1,0
ALX1,V2,0
ALX1,V3,0
ALX1,V4,0
ALX1,V5,0
ALX1,V6,0
ALX1,V7,0
ALX1,V8,0
ALX1,V9,0
ALX1,V10,0
ALX1,V11,0
ALX1,V12,0
ALX1,V13,0
ALX1,V14,0
ALX1,V15,0
ALX1,V16,0
ALX1,V17,0
ALX1,V18,0.124034938929058
ALX1,V19,0
ALX1,V20,0
ALX1,V21,0
ALX1,V22,0
ALX1,V23,0
ALX1,V24,0
ALX1,V25,0
ALX1,V26,0
ALX1,V27,0
ALX1,V28,0
ALX1,V29,0
ALX1,V30,0
ALX1,V31,0
ALX1,V32,0.0900750052326462
ALX4,(Intercept),-0.00417460240140373
ALX4,V1,0
ALX4,V2,0
ALX4,V3,0
ALX4,V4,0
ALX4,V5,0
ALX4,V6,0
ALX4,V7,0
ALX4,V8,0
ALX4,V9,0
ALX4,V10,0
ALX4,V11,0
ALX4,V12,0.0850912146498766
ALX4,V13,0
ALX4,V14,0
ALX4,V15,0
ALX4,V16,0
ALX4,V17,0
ALX4,V18,0
ALX4,V19,0
ALX4,V20,0
ALX4,V21,0
ALX4,V22,0
ALX4,V23,0
ALX4,V24,0.0354453862535423
ALX4,V25,0
ALX4,V26,0
ALX4,V27,0
ALX4,V28,0
ALX4,V29,0
ALX4,V30,0
ALX4,V31,0
ALX4,V32,0
ARID1A,(Intercept),5.20417042793042e-18
ARID1A,V1,0
ARID1A,V2,0
ARID1A,V3,0
ARID1A,V4,0
ARID1A,V5,0
ARID1A,V6,0
ARID1A,V7,0
ARID1A,V8,0
ARID1A,V9,0
ARID1A,V10,0
ARID1A,V11,0
ARID1A,V12,0
ARID1A,V13,0
ARID1A,V14,0
ARID1A,V15,0
ARID1A,V16,0
ARID1A,V17,0
ARID1A,V18,0
ARID1A,V19,0
ARID1A,V20,0
ARID1A,V21,0
ARID1A,V22,0
ARID1A,V23,0
ARID1A,V24,0
ARID1A,V25,0
ARID1A,V26,0
ARID1A,V27,0
ARID1A,V28,0
ARID1A,V29,0
ARID1A,V30,0
ARID1A,V31,0
ARID1A,V32,0
ARID3A,(Intercept),0.0391249855354847
ARID3A,V1,0
ARID3A,V2,0
ARID3A,V3,0.0997016645667565
ARID3A,V4,0
ARID3A,V5,0
ARID3A,V6,0
ARID3A,V7,0
ARID3A,V8,0
ARID3A,V9,0
ARID3A,V10,0
ARID3A,V11,0.0884970729519003
ARID3A,V12,0
ARID3A,V13,0
ARID3A,V14,0
ARID3A,V15,0
ARID3A,V16,-0.423925252257878
ARID3A,V17,0
ARID3A,V18,0
ARID3A,V19,-0.0959208440544001
ARID3A,V20,0
ARID3A,V21,0
ARID3A,V22,0
ARID3A,V23,0
ARID3A,V24,0
ARID3A,V25,0.103757449120411
ARID3A,V26,0
ARID3A,V27,0
ARID3A,V28,0
ARID3A,V29,0
ARID3A,V30,0.0447646813125629
ARID3A,V31,0
ARID3A,V32,0
ARNTL,(Intercept),0.0312680022315175
ARNTL,V1,0
ARNTL,V2,0
ARNTL,V3,0
ARNTL,V4,0
ARNTL,V5,0
ARNTL,V6,0
ARNTL,V7,0
ARNTL,V8,0
ARNTL,V9,0
ARNTL,V10,0
ARNTL,V11,0
ARNTL,V12,0
ARNTL,V13,0
ARNTL,V14,0
ARNTL,V15,0
ARNTL,V16,-0.179997938027268
ARNTL,V17,0.252490418038019
ARNTL,V18,0
ARNTL,V19,-0.245706319264089
ARNTL,V20,0
ARNTL,V21,0
ARNTL,V22,0
ARNTL,V23,0
ARNTL,V24,0
ARNTL,V25,0
ARNTL,V26,0
ARNTL,V27,0
ARNTL,V28,0
ARNTL,V29,-0.177056282382114
ARNTL,V30,0
ARNTL,V31,0
ARNTL,V32,0
ATF3,(Intercept),-0.158056872501392
ATF3,V1,0
ATF3,V2,0.116766661492724
ATF3,V3,-0.388813525843345
ATF3,V4,-0.174805402035963
ATF3,V5,0
ATF3,V6,0
ATF3,V7,0.100577827241648
ATF3,V8,-0.544299026777526
ATF3,V9,-0.187145073009421
ATF3,V10,0
ATF3,V11,0.299514415293721
ATF3,V12,0.283157362287726
ATF3,V13,0.736462845012362
ATF3,V14,0.121316799347913
ATF3,V15,-0.0421588223614633
ATF3,V16,0.0830755226335709
ATF3,V17,0
ATF3,V18,0.50727596035012
ATF3,V19,0
ATF3,V20,-0.536280387460735
ATF3,V21,0.27972672976026
ATF3,V22,0
ATF3,V23,0
ATF3,V24,-0.253686674588596
ATF3,V25,-0.306668117746615
ATF3,V26,0.124546089819853
ATF3,V27,0
ATF3,V28,0.190298598388225
ATF3,V29,-0.261824202144318
ATF3,V30,0
ATF3,V31,0
ATF3,V32,0.0102709709298851
BARX1,(Intercept),-6.74373751285984e-17
BARX1,V1,0
BARX1,V2,0
BARX1,V3,0
BARX1,V4,0
BARX1,V5,0
BARX1,V6,0
BARX1,V7,0
BARX1,V8,0
BARX1,V9,0
BARX1,V10,0
BARX1,V11,0
BARX1,V12,0
BARX1,V13,0
BARX1,V14,0
BARX1,V15,0
BARX1,V16,0
BARX1,V17,0
BARX1,V18,0
BARX1,V19,0
BARX1,V20,0
BARX1,V21,0
BARX1,V22,0
BARX1,V23,0
BARX1,V24,0
BARX1,V25,0
BARX1,V26,0
BARX1,V27,0
BARX1,V28,0
BARX1,V29,0
BARX1,V30,0
BARX1,V31,0
BARX1,V32,0
BBX,(Intercept),0.0189402301892536
BBX,V1,0
BBX,V2,0
BBX,V3,0
BBX,V4,0
BBX,V5,0
BBX,V6,0
BBX,V7,0
BBX,V8,0
BBX,V9,0
BBX,V10,0
BBX,V11,0
BBX,V12,0
BBX,V13,0
BBX,V14,-0.110336850233622
BBX,V15,0
BBX,V16,0
BBX,V17,0
BBX,V18,-0.0886296757560915
BBX,V19,0
BBX,V20,0
BBX,V21,0
BBX,V22,0
BBX,V23,0
BBX,V24,0
BBX,V25,0
BBX,V26,0
