perturbation,feature,coefficient
AFF1,(Intercept),0.0588682570783701
AFF1,V1,0
AFF1,V2,0.126452833292981
AFF1,V3,-0.0441524255200752
AFF1,V4,0
AFF1,V5,0
AFF1,V6,0
AFF1,V7,0
AFF1,V8,-0.0921217728076671
AFF1,V9,0
AFF1,V10,0.0472681176744513
AFF1,V11,-0.00831178757480174
AFF1,V12,0
AFF1,V13,-0.229373338951901
AFF1,V14,0
AFF1,V15,0.124909112137925
AFF1,V16,0
AFF1,V17,0
AFF1,V18,0
AFF1,V19,0
AFF1,V20,0
AFF1,V21,-0.0966169247452979
AFF1,V22,-0.0626598670697056
AFF1,V23,0.0473099072626778
AFF1,V24,-0.174173219954665
AFF1,V25,0.233101902792556
AFF1,V26,0
AFF1,V27,0
AFF1,V28,0
AFF1,V29,0.211328326273338
AFF1,V30,-0.082415694805562
AFF1,V31,0
AFF1,V32,-0.0233557590592865
ALX1,(Intercept),0.0555765030134578
ALX1,V1,0
ALX1,V2,0
ALX1,V3,0
ALX1,V4,0
ALX1,V5,0.0594400488884224
ALX1,V6,-0.0593118011947084
ALX1,V7,-0.0797293244595941
ALX1,V8,0
ALX1,V9,0
ALX1,V10,0
ALX1,V11,0
ALX1,V12,0.0946298644306541
ALX1,V13,0
ALX1,V14,0
ALX1,V15,0
ALX1,V16,0
ALX1,V17,0
ALX1,V18,0
ALX1,V19,-0.0690505080439691
ALX1,V20,0
ALX1,V21,0
ALX1,V22,0
ALX1,V23,0
ALX1,V24,0
ALX1,V25,0
ALX1,V26,0
ALX1,V27,-0.011991848247759
ALX1,V28,0
ALX1,V29,0
ALX1,V30,0
ALX1,V31,0
ALX1,V32,0
ALX4,(Intercept),-0.043732985797685
ALX4,V1,0
ALX4,V2,0
ALX4,V3,-0.0737409270428404
ALX4,V4,0.10790562992675
ALX4,V5,0
ALX4,V6,-0.0492739664062893
ALX4,V7,0
ALX4,V8,0.0104770563421051
ALX4,V9,0
ALX4,V10,0
ALX4,V11,0
ALX4,V12,0
ALX4,V13,0
ALX4,V14,0
ALX4,V15,-0.115108090710432
ALX4,V16,0.0543063378749992
ALX4,V17,0
ALX4,V18,0
ALX4,V19,-0.0433802303406252
ALX4,V20,0
ALX4,V21,0
ALX4,V22,-0.120984997635878
ALX4,V23,-0.0450957541860051
ALX4,V24,0
ALX4,V25,0
ALX4,V26,0
ALX4,V27,0
ALX4,V28,0
ALX4,V29,-0.0365170923945312
ALX4,V30,-0.0801286836706476
ALX4,V31,0
ALX4,V32,-0.053658361584566
ARID1A,(Intercept),0.0751674166519309
ARID1A,V1,-0.217933445932203
ARID1A,V2,-0.0786440325460044
ARID1A,V3,0
ARID1A,V4,0
ARID1A,V5,-0.133986889358826
ARID1A,V6,0
ARID1A,V7,-0.0460556948622146
ARID1A,V8,0
ARID1A,V9,-0.12473221076507
ARID1A,V10,0
ARID1A,V11,-0.0191898067631992
ARID1A,V12,0
ARID1A,V13,0
ARID1A,V14,0
ARID1A,V15,0
ARID1A,V16,0
ARID1A,V17,0.13006230212043
ARID1A,V18,0
ARID1A,V19,0
ARID1A,V20,0.0241622077320541
ARID1A,V21,-0.0503352746121827
ARID1A,V22,0
ARID1A,V23,0.0191828778579933
ARID1A,V24,0
ARID1A,V25,0
ARID1A,V26,0
ARID1A,V27,0.0487526477931909
ARID1A,V28,0
ARID1A,V29,0.0418042464384096
ARID1A,V30,0
ARID1A,V31,0
ARID1A,V32,0
ARID3A,(Intercept),0.0062173186855372
ARID3A,V1,0
ARID3A,V2,0
ARID3A,V3,0
ARID3A,V4,-0.0200727683581981
ARID3A,V5,-0.16367168553408
ARID3A,V6,0
ARID3A,V7,0
ARID3A,V8,-0.10293926492917
ARID3A,V9,-0.0476527587409444
ARID3A,V10,-0.0569544504417754
ARID3A,V11,0
ARID3A,V12,0
ARID3A,V13,-0.033691750049103
ARID3A,V14,-0.0684290149071615
ARID3A,V15,0.103148550731006
ARID3A,V16,0
ARID3A,V17,0.214650538635851
ARID3A,V18,0
ARID3A,V19,0.0623680262307376
ARID3A,V20,0
ARID3A,V21,0.0150504036098561
ARID3A,V22,0
ARID3A,V23,0
ARID3A,V24,-0.109245278675863
ARID3A,V25,0
ARID3A,V26,0
ARID3A,V27,0
ARID3A,V28,0.0744470441050476
