perturbation,feature,coefficient
AFF1,(Intercept),0.000205150075958301
AFF1,V1,-0.000893148340793485
AFF1,V2,0
AFF1,V3,0
AFF1,V4,0
AFF1,V5,0
AFF1,V6,0
AFF1,V7,0
AFF1,V8,0
AFF1,V9,0
AFF1,V10,-0.000264617408272193
AFF1,V11,0
AFF1,V12,0
AFF1,V13,0
AFF1,V14,0
AFF1,V15,0
AFF1,V16,0
AFF1,V17,0
AFF1,V18,0
AFF1,V19,0
AFF1,V20,0
AFF1,V21,0
AFF1,V22,0
AFF1,V23,0
AFF1,V24,0
AFF1,V25,0
AFF1,V26,0
AFF1,V27,0
AFF1,V28,0
AFF1,V29,0
AFF1,V30,0
AFF1,V31,0
AFF1,V32,0
AFF1,V33,0
AFF1,V34,0
AFF1,V35,0
AFF1,V36,0
AFF1,V37,0
AFF1,V38,0
AFF1,V39,0
AFF1,V40,0
AFF1,V41,0
AFF1,V42,0
AFF1,V43,0
AFF1,V44,0
AFF1,V45,0
AFF1,V46,0
AFF1,V47,0
AFF1,V48,0
AFF1,V49,0
AFF1,V50,0
AFF1,V51,0
AFF1,V52,0
AFF1,V53,0
AFF1,V54,-0.00794726401219063
AFF1,V55,0
AFF1,V56,0
AFF1,V57,0
AFF1,V58,0
AFF1,V59,0
AFF1,V60,0
AFF1,V61,0
AFF1,V62,0
AFF1,V63,0
AFF1,V64,0
AFF1,V65,0
AFF1,V66,0
AFF1,V67,0
AFF1,V68,0
AFF1,V69,0
AFF1,V70,0
AFF1,V71,0
AFF1,V72,0
AFF1,V73,0
AFF1,V74,0
AFF1,V75,0
AFF1,V76,0
AFF1,V77,0
AFF1,V78,0
AFF1,V79,0
AFF1,V80,0
AFF1,V81,0
AFF1,V82,0
AFF1,V83,0
AFF1,V84,0
AFF1,V85,0
AFF1,V86,0
AFF1,V87,0
AFF1,V88,0
AFF1,V89,0
AFF1,V90,0
AFF1,V91,0
AFF1,V92,0
AFF1,V93,0
AFF1,V94,0
AFF1,V95,0
AFF1,V96,0
AFF1,V97,0
AFF1,V98,0
AFF1,V99,0
AFF1,V100,0
AFF1,V101,0
AFF1,V102,0
AFF1,V103,0
AFF1,V104,0
AFF1,V105,0
AFF1,V106,0
AFF1,V107,0
AFF1,V108,0
AFF1,V109,0
AFF1,V110,0
AFF1,V111,0
AFF1,V112,0
AFF1,V113,0
AFF1,V114,0
AFF1,V115,0
AFF1,V116,0
AFF1,V117,0
AFF1,V118,0
AFF1,V119,0
AFF1,V120,0
AFF1,V121,0
AFF1,V122,0
AFF1,V123,0
AFF1,V124,0
AFF1,V125,0
AFF1,V126,0
AFF1,V127,0
AFF1,V128,0
AFF1,V129,0
AFF1,V130,0
AFF1,V131,0
AFF1,V132,0
AFF1,V133,0
AFF1,V134,0
AFF1,V135,0
AFF1,V136,0
AFF1,V137,0
AFF1,V138,0
AFF1,V139,0
AFF1,V140,0
AFF1,V141,0
AFF1,V142,0
AFF1,V143,0
AFF1,V144,0
AFF1,V145,0
AFF1,V146,0
AFF1,V147,0
AFF1,V148,0
AFF1,V149,0
AFF1,V150,0
AFF1,V151,0
AFF1,V152,0
AFF1,V153,0
AFF1,V154,0
AFF1,V155,0
AFF1,V156,0
AFF1,V157,0
AFF1,V158,0
AFF1,V159,0
AFF1,V160,0
AFF1,V161,0
AFF1,V162,0
AFF1,V163,0
AFF1,V164,0
AFF1,V165,0
AFF1,V166,0
AFF1,V167,0
AFF1,V168,0
AFF1,V169,0
AFF1,V170,0
AFF1,V171,0
AFF1,V172,0
AFF1,V173,0
AFF1,V174,0
AFF1,V175,0
AFF1,V176,0
AFF1,V177,0
AFF1,V178,0
AFF1,V179,0
AFF1,V180,0
AFF1,V181,0
AFF1,V182,0
AFF1,V183,0
AFF1,V184,0
AFF1,V185,0
AFF1,V186,0
AFF1,V187,0
AFF1,V188,0
AFF1,V189,0
AFF1,V190,0
AFF1,V191,0
AFF1,V192,0
AFF1,V193,0
AFF1,V194,0
AFF1,V195,0
AFF1,V196,0
AFF1,V197,0
AFF1,V198,0
AFF1,V199,0
AFF1,V200,0
AFF1,V201,0
AFF1,V202,0
AFF1,V203,0
AFF1,V204,0
