perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
AFF1,0.1115119468955295,0.030869580934875282,0.1186131280926799,"(32,)",0.001,0.001
ALX1,0.13163263536564418,-0.04197901996506571,0.129548760520248,"(32,)",0.001,0.001
ALX4,0.1588146331545145,0.013864594752668526,0.16081908088772628,"(64,)",0.001,0.001
ARID1A,0.17415331638527623,-0.057653071793040224,0.17052384453783062,"(64,)",0.001,0.001
ARID3A,0.10901020088021063,0.003117267046225639,0.11284813574738155,"(32,)",0.001,0.001
ARNTL,0.18355320694298197,-0.015826135386155387,0.18451170949018544,"(128, 64, 32)",0.01,0.0001
ATF3,0.11222267281233886,0.018969268594632417,0.12731861639733755,"(32,)",0.001,0.001
BARX1,0.22335601762357402,-0.001223165162362037,0.23432255541628572,"(128, 64, 32)",0.01,0.0001
BBX,0.2923086312286374,-0.023098390643207317,0.3298825463911112,"(128, 64, 32)",0.01,0.0001
BCL11A,0.26295302586262653,0.02055668921926415,0.2841984967742726,"(128, 64, 32)",0.01,0.0001
BCL11B,0.31769988689464035,0.02157048740486008,0.33077623074037465,"(128, 64, 32)",0.001,0.0001
BHLHE40,0.15743086319223792,0.01637454151088211,0.16480788621283274,"(64,)",0.001,0.001
BHLHE41,0.16268227069222915,-0.0017798002423275736,0.16498998693075956,"(64,)",0.001,0.001
BID,0.1003603914218159,0.04300462367460453,0.13952738637838716,"(128, 64, 32)",0.01,0.0001
BNC1,0.11141505658358765,0.0008932407775512494,0.11705962172549196,"(32,)",0.001,0.001
BNC2,0.1501874017376517,-0.0036013544303238696,0.14926555767729266,"(128, 64, 32)",0.01,0.0001
BPTF,0.15111385592072632,0.0249517808751541,0.15550573127739653,"(128, 64, 32)",0.01,0.0001
BSX,0.21127655211283497,0.005797061775816034,0.2122427899699364,"(64,)",0.001,0.001
CARHSP1,0.12733168109210038,0.002357889495872207,0.17890588345397224,"(128, 64, 32)",0.01,0.0001
CASZ1,0.25596188047988894,-0.02472964518339342,0.2860041235785383,"(128, 64, 32)",0.01,0.0001
CDX2,0.19750587696951535,-0.013320069405095555,0.18545587346180595,"(128, 64, 32)",0.01,0.0001
CEBPA,0.22119130343695143,0.06107012872808077,0.24752432991464374,"(128, 64, 32)",0.01,0.0001
CEBPB,0.22127667123459813,0.026475152846615838,0.22992247722738463,"(128, 64, 32)",0.01,0.0001
CREBBP,0.11356592907189367,0.026003136464664255,0.12673718053990463,"(32,)",0.001,0.001
DLX2,0.13481115862757648,-0.08607661710302968,0.13762006808710397,"(32,)",0.001,0.001
DLX3,0.1755539422307237,-0.0245392968623385,0.189524582351673,"(128, 64, 32)",0.01,0.0001
DMRT1,0.16174953020847593,0.050103969990349724,0.1809169689936393,"(64,)",0.001,0.001
DNAJC1,0.12085016287746901,-0.007511245866421271,0.15140103768544752,"(128, 64, 32)",0.01,0.0001
EBF2,0.1577921032269045,0.03698320320389367,0.15640143191849787,"(128, 64, 32)",0.01,0.0001
EBF3,0.19947857692286203,0.03640195124709377,0.21571799012324716,"(128, 64, 32)",0.01,0.0001
EGR2,0.1529568254579061,0.01755480171871984,0.17375919603484707,"(64,)",0.001,0.001
EGR3,0.16916968500885043,0.018827524497096557,0.17969442739018918,"(128, 64, 32)",0.01,0.0001
ELF4,0.12655888875304258,-0.021908826481406077,0.13408751307520322,"(64,)",0.001,0.001
ELK3,0.09864157372174197,0.0006562206401916034,0.11144583142016196,"(32,)",0.001,0.001
EOMES,0.36978520956259864,0.033371711700451064,0.37908011015784077,"(128, 64, 32)",0.001,0.0001
EP300,0.1639498994936785,0.004560966341077075,0.16196458901690722,"(128, 64, 32)",0.01,0.0001
EPAS1,0.09680355220884852,0.04875429544551421,0.11715526914965393,"(32,)",0.001,0.001
ESX1,0.20641071158157118,-0.04525146136175855,0.21745883781702888,"(64,)",0.001,0.001
ETS1,0.21144549602901155,0.03064554361897371,0.21391936716733598,"(64,)",0.001,0.001
FEZF2,0.19989196433056955,-0.0444812660400667,0.1942371734141498,"(128, 64, 32)",0.01,0.0001
FLI1,0.2717296444665121,-0.001248427500362555,0.2634273045466027,"(128, 64, 32)",0.01,0.0001
FOSB,0.1651663048959345,0.06874866936888742,0.17727115707187635,"(128, 64, 32)",0.01,0.0001
FOSL1,0.13359652504871047,-0.022820104630546047,0.14586753150381213,"(32,)",0.001,0.001
FOSL2,0.20895646922989286,0.021833061338017566,0.20481655177983366,"(128, 64, 32)",0.01,0.0001
FOXA3,0.24074164498092623,0.014143390482054792,0.22228819456245855,"(64,)",0.001,0.001
FOXC1,0.22184367691984352,0.04209784765033883,0.2412953482385697,"(128, 64, 32)",0.01,0.0001
FOXC2,0.31563827850110115,0.023865907928548365,0.34134438162740255,"(128, 64, 32)",0.001,0.0001
FOXD1,0.13525115611127547,-0.0010133482548960124,0.16080181081146,"(32,)",0.001,0.001
FOXD2,0.14086937464449842,-0.07491166197354414,0.14531029227797868,"(64,)",0.001,0.001
FOXD3,0.23564182830392397,0.04076605721095522,0.23782723134406364,"(128, 64, 32)",0.01,0.0001
FOXE1,0.2679109067008739,0.044786953563396195,0.27457608799033917,"(128, 64, 32)",0.01,0.0001
FOXE3,0.17860942563304258,0.07851030056567675,0.1836542725291365,"(64,)",0.001,0.001
FOXF1,0.2004581874139259,0.04239859204397728,0.20468806897721886,"(128, 64, 32)",0.01,0.0001
FOXF2,0.16248898157318847,0.0579789920005251,0.16804049869162974,"(128, 64, 32)",0.01,0.0001
FOXI3,0.19144866913176703,0.05102378230142134,0.19479255997650902,"(128, 64, 32)",0.001,0.0001
FOXJ1,0.19144290791704474,0.052393060845690245,0.26962417855785764,"(128, 64, 32)",0.01,0.0001
FOXL2,0.1783975369838963,0.02370562574351527,0.17745198886359648,"(64,)",0.001,0.001
FOXP4,0.17152140626616852,-0.0038485684862410337,0.17447384169203137,"(128, 64, 32)",0.01,0.0001
GATA2,0.28259830233160493,0.035306494777502445,0.2975465186055078,"(128, 64, 32)",0.01,0.0001
