perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
AFF1,0.11009884287078976,0.07666432953540574,0.11969277320300813,"(32,)",0.001,0.001
ALX1,0.1341065544803658,-0.08587298096539452,0.1307845672234619,"(32,)",0.001,0.001
ALX4,0.1805153435536907,-0.04147961418936076,0.15446539560821643,"(128, 64, 32)",0.01,0.0001
ARID1A,0.17279477181818448,0.04038975160551711,0.16920696580431702,"(64,)",0.001,0.001
ARID3A,0.10455644623940649,0.02036311682062614,0.11360112256882067,"(32,)",0.001,0.001
ARNTL,0.18549582691829167,-0.003486362724424242,0.1830337727460264,"(128, 64, 32)",0.01,0.0001
ATF3,0.11616747511630568,0.038333277320366135,0.12756279648130744,"(32,)",0.001,0.001
BARX1,0.23613684625934836,0.07239968194372527,0.2281109580759529,"(128, 64, 32)",0.01,0.0001
BBX,0.2717300224708589,0.039506554277366615,0.33484574639321324,"(128, 64, 32)",0.01,0.0001
BCL11A,0.2775978257487885,0.019298161467920894,0.277439038238274,"(128, 64, 32)",0.01,0.0001
BCL11B,0.3362415027523664,-0.027695125676628813,0.3242051913802415,"(128, 64, 32)",0.001,0.0001
BHLHE40,0.1528618540939177,0.04846839094053446,0.1640631772718955,"(32,)",0.001,0.001
BHLHE41,0.15899957265652495,-0.0010007457127084365,0.16211506319644703,"(128, 64, 32)",0.01,0.0001
BID,0.10744309527574653,0.05850917128020189,0.13270885987292963,"(32,)",0.001,0.001
BNC1,0.1152969115918452,0.038522398389442394,0.1150603762613633,"(32,)",0.001,0.001
BNC2,0.14764138575172722,0.01803653667740639,0.14732680785821234,"(32,)",0.001,0.001
BPTF,0.1453133632755468,0.056447842609034155,0.1553249307608801,"(128, 64, 32)",0.01,0.0001
BSX,0.20834846239816535,0.08104051936604562,0.21096526725392023,"(128, 64, 32)",0.01,0.0001
CARHSP1,0.11222014919949758,0.008447987285196207,0.17697823322654727,"(128, 64, 32)",0.01,0.0001
CASZ1,0.2683133281903163,0.024586915650293723,0.28199176447484514,"(128, 64, 32)",0.01,0.0001
CDX2,0.19179505597351168,0.09416214567527055,0.18942388815574218,"(128, 64, 32)",0.01,0.0001
CEBPA,0.2455588422535964,-0.014082345865410732,0.23946213692136342,"(128, 64, 32)",0.01,0.0001
CEBPB,0.21932549226656667,0.02538983301774832,0.2255176259103319,"(128, 64, 32)",0.01,0.0001
CREBBP,0.14078601083802875,-0.10340898768468262,0.12141864260480692,"(32,)",0.001,0.001
