perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
AFF1,0.1115119468955295,0.0308695809348752,0.1186131280926799
ALX1,0.1316326353656441,-0.0419790199650657,0.129548760520248
ALX4,0.1588146331545145,0.0138645947526685,0.1608190808877262
ARID1A,0.1741533163852762,-0.0576530717930402,0.1705238445378306
ARID3A,0.1090102008802106,0.0031172670462256,0.1128481357473815
ARNTL,0.1835532069429819,-0.0158261353861553,0.1845117094901854
ATF3,0.1122226728123388,0.0189692685946324,0.1273186163973375
BARX1,0.223356017623574,-0.001223165162362,0.2343225554162857
BBX,0.2923086312286374,-0.0230983906432073,0.3298825463911112
BCL11A,0.2629530258626265,0.0205566892192641,0.2841984967742726
BCL11B,0.3176998868946403,0.02157048740486,0.3307762307403746
BHLHE40,0.1574308631922379,0.0163745415108821,0.1648078862128327
BHLHE41,0.1626822706922291,-0.0017798002423275,0.1649899869307595
BID,0.1003603914218159,0.0430046236746045,0.1395273863783871
BNC1,0.1114150565835876,0.0008932407775512,0.1170596217254919
BNC2,0.1501874017376517,-0.0036013544303238,0.1492655576772926
BPTF,0.1511138559207263,0.0249517808751541,0.1555057312773965
BSX,0.2112765521128349,0.005797061775816,0.2122427899699364
CARHSP1,0.1273316810921003,0.0023578894958722,0.1789058834539722
CASZ1,0.2559618804798889,-0.0247296451833934,0.2860041235785383
CDX2,0.1975058769695153,-0.0133200694050955,0.1854558734618059
CEBPA,0.2211913034369514,0.0610701287280807,0.2475243299146437
CEBPB,0.2212766712345981,0.0264751528466158,0.2299224772273846
CREBBP,0.1135659290718936,0.0260031364646642,0.1267371805399046
DLX2,0.1348111586275764,-0.0860766171030296,0.1376200680871039
DLX3,0.1755539422307237,-0.0245392968623385,0.189524582351673
DMRT1,0.1617495302084759,0.0501039699903497,0.1809169689936393
DNAJC1,0.120850162877469,-0.0075112458664212,0.1514010376854475
EBF2,0.1577921032269045,0.0369832032038936,0.1564014319184978
EBF3,0.199478576922862,0.0364019512470937,0.2157179901232471
EGR2,0.1529568254579061,0.0175548017187198,0.173759196034847
EGR3,0.1691696850088504,0.0188275244970965,0.1796944273901891
ELF4,0.1265588887530425,-0.021908826481406,0.1340875130752032
ELK3,0.0986415737217419,0.0006562206401916,0.1114458314201619
EOMES,0.3697852095625986,0.033371711700451,0.3790801101578407
EP300,0.1639498994936785,0.004560966341077,0.1619645890169072
EPAS1,0.0968035522088485,0.0487542954455142,0.1171552691496539
ESX1,0.2064107115815711,-0.0452514613617585,0.2174588378170288
ETS1,0.2114454960290115,0.0306455436189737,0.2139193671673359
FEZF2,0.1998919643305695,-0.0444812660400667,0.1942371734141498
FLI1,0.2717296444665121,-0.0012484275003625,0.2634273045466027
FOSB,0.1651663048959345,0.0687486693688874,0.1772711570718763
FOSL1,0.1335965250487104,-0.022820104630546,0.1458675315038121
FOSL2,0.2089564692298928,0.0218330613380175,0.2048165517798336
FOXA3,0.2407416449809262,0.0141433904820547,0.2222881945624585
FOXC1,0.2218436769198435,0.0420978476503388,0.2412953482385697
FOXC2,0.3156382785011011,0.0238659079285483,0.3413443816274025
FOXD1,0.1352511561112754,-0.001013348254896,0.16080181081146
FOXD2,0.1408693746444984,-0.0749116619735441,0.1453102922779786
FOXD3,0.2356418283039239,0.0407660572109552,0.2378272313440636
FOXE1,0.2679109067008739,0.0447869535633961,0.2745760879903391
FOXE3,0.1786094256330425,0.0785103005656767,0.1836542725291365
FOXF1,0.2004581874139259,0.0423985920439772,0.2046880689772188
FOXF2,0.1624889815731884,0.0579789920005251,0.1680404986916297
FOXI3,0.191448669131767,0.0510237823014213,0.194792559976509
FOXJ1,0.1914429079170447,0.0523930608456902,0.2696241785578576
FOXL2,0.1783975369838963,0.0237056257435152,0.1774519888635964
FOXP4,0.1715214062661685,-0.003848568486241,0.1744738416920313
GATA2,0.2825983023316049,0.0353064947775024,0.2975465186055078
GATA3,0.1649098705358055,0.033774195551552,0.1649409293543283
GATA4,0.236970585485328,0.017697615521692,0.2302342504852497
GATA6,0.276074813154118,0.0249525995828656,0.2447473883253946
GFI1,0.1750084298430881,-0.0233291055474473,0.157900797392334
GLI1,0.2026671762343304,0.025533840076439,0.2297728667747692
GLIS3,0.1738890825700891,0.0085055947370287,0.1819743705510077
GSC,0.2044115726245344,0.0135133857899486,0.2077808989609578
GSX2,0.1930063966151604,0.0354342836603235,0.1938009300072903
GTF2B,0.1726068614488508,0.0511999319705014,0.1822067496714368
HAND1,0.1528400082308018,0.0796939353863287,0.2277883170194648
HELZ2,0.231823596480286,0.1812064315015374,0.2506966761073953
HES4,0.1674903204513484,0.0229224317068708,0.2476682445328513
HES5,0.1182775169639551,-0.0195015173970663,0.1193514607777479
HES7,0.4032994078638278,0.0787062416856037,0.3511404175641933
HHEX,0.2234272139992838,-0.0360579839846369,0.2346465868386019
HIC1,0.1534690828396428,0.0358605374804171,0.155884793158156
HIVEP1,0.1705774907158642,0.0084646053894803,0.1717790514394862
HMGA1,0.2009222617222406,-0.0011729432458894,0.2145767345194376
HMGN2,0.1814830941633315,0.0558448626103224,0.1966980080117702
HMX3,0.1921261040166973,0.0429683684054804,0.2065346900533722
HNF1B,0.3132561521491721,-0.0038149005698341,0.3302104320617283
HNRNPAB,0.478306710079083,-0.0335999582381075,0.4798789034424245
HOXA13,0.2694580025499862,0.0588461467792597,0.3123989749287534
HOXC9,0.2023364521929364,-0.0222627113835297,0.2233465202018893
HOXC13,0.2856044906453325,0.0323054156444196,0.2857382447139801
IFI16,0.1438419304484923,-0.0026112033061963,0.168023652461615
IKZF2,0.1722109949972469,0.0124303430257754,0.1798691136710414
IKZF5,0.2361269206395207,-0.0160382693438102,0.2422774380053189
