perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
AFF1,0.1100988428707897,0.0766643295354057,0.1196927732030081
ALX1,0.1341065544803658,-0.0858729809653945,0.1307845672234619
ALX4,0.1805153435536907,-0.0414796141893607,0.1544653956082164
ARID1A,0.1727947718181844,0.0403897516055171,0.169206965804317
ARID3A,0.1045564462394064,0.0203631168206261,0.1136011225688206
ARNTL,0.1854958269182916,-0.0034863627244242,0.1830337727460264
ATF3,0.1161674751163056,0.0383332773203661,0.1275627964813074
BARX1,0.2361368462593483,0.0723996819437252,0.2281109580759529
BBX,0.2717300224708589,0.0395065542773666,0.3348457463932132
BCL11A,0.2775978257487885,0.0192981614679208,0.277439038238274
BCL11B,0.3362415027523664,-0.0276951256766288,0.3242051913802415
BHLHE40,0.1528618540939177,0.0484683909405344,0.1640631772718955
BHLHE41,0.1589995726565249,-0.0010007457127084,0.162115063196447
BID,0.1074430952757465,0.0585091712802018,0.1327088598729296
BNC1,0.1152969115918452,0.0385223983894423,0.1150603762613633
BNC2,0.1476413857517272,0.0180365366774063,0.1473268078582123
BPTF,0.1453133632755468,0.0564478426090341,0.1553249307608801
BSX,0.2083484623981653,0.0810405193660456,0.2109652672539202
CARHSP1,0.1122201491994975,0.0084479872851962,0.1769782332265472
CASZ1,0.2683133281903163,0.0245869156502937,0.2819917644748451
CDX2,0.1917950559735116,0.0941621456752705,0.1894238881557421
CEBPA,0.2455588422535964,-0.0140823458654107,0.2394621369213634
CEBPB,0.2193254922665666,0.0253898330177483,0.2255176259103319
CREBBP,0.1407860108380287,-0.1034089876846826,0.1214186426048069
DLX2,0.1470139004351763,-0.026992304680097,0.1345457094451987
DLX3,0.2075722877118019,0.0024493408987254,0.1817815939621512
DMRT1,0.1804643202832614,0.0814377436560135,0.1765001720818706
DNAJC1,0.1119212232287817,0.0659595472413728,0.1515501044645689
EBF2,0.1527956318110457,0.0617976046054454,0.1518328347133766
EBF3,0.2130562812171309,0.0781075256395529,0.2107410275094599
EGR2,0.1928377959793884,0.0066807754773416,0.1588656366019604
EGR3,0.1947045239814495,0.0191124496915037,0.1745022145006997
ELF4,0.12458229324071,0.0912611049459889,0.1319680580952696
ELK3,0.0992345444544944,0.0535217673251759,0.1090845740057915
EOMES,0.370854061079374,0.1673001605071877,0.3719150532525935
EP300,0.1616400012533348,0.1080897134190432,0.1554710608475544
EPAS1,0.1426303148753806,0.0343366806170497,0.1047897208387571
ESX1,0.2071814688376812,0.070636345276136,0.2142291510048602
ETS1,0.2132799101272897,0.0860548216457059,0.2089683215102185
FEZF2,0.1854155329872032,0.0840141679686056,0.1926286764865988
FLI1,0.2592036844542162,0.1099562431187353,0.2620252898267022
FOSB,0.1789741096585001,0.1308485203241805,0.1689190402892391
FOSL1,0.1459750936350996,0.0090929248379117,0.143733013560298
FOSL2,0.2001741374017488,0.0695777914613514,0.2043533524883671
FOXA3,0.2154365211625233,0.1316694525063221,0.2262076195919694
FOXC1,0.2389380658441735,0.02173715742813,0.2361647000996368
FOXC2,0.3413954378683277,0.0430673938816256,0.3348771559662419
FOXD1,0.1460174589310901,0.0537108140890695,0.1571303814051108
FOXD2,0.1522368465588703,-0.0019275030498668,0.1423465360794738
FOXD3,0.2364670708200493,0.0396391695373362,0.2394429554835757
FOXE1,0.2708273230973937,0.0655532696314283,0.2688449103543161
FOXE3,0.1826591172523413,0.0519681309521056,0.1856340242605763
FOXF1,0.212318230081821,0.1377151340912936,0.1949099323058019
FOXF2,0.1674583193446182,0.120534706808882,0.1632206997171151
FOXI3,0.1963961784884328,0.1542437766471975,0.185036093168058
FOXJ1,0.4567388620345318,0.0057524571567508,0.2014543861594301
FOXL2,0.1803660280991219,0.1709702127284749,0.1713749835703445
FOXP4,0.1727227206169309,0.0184157934410185,0.1695469495478228
GATA2,0.2844305163559678,0.1312566837059907,0.2946381447411846
GATA3,0.1689732018527492,0.1269259226008533,0.1589746788191643
GATA4,0.2295476940220606,0.116718091770988,0.2257816882686526
GATA6,0.2719026846590043,0.0729758825075248,0.2426921257944408
GFI1,0.1625507326048733,0.0584369831002159,0.1612976963515534
GLI1,0.2279111896264592,0.0699473641985066,0.2153354321173602
GLIS3,0.1834311321675268,0.1112828342252263,0.1739895433262433
GSC,0.2141420792378665,-0.0065400754501608,0.2047999859204889
GSX2,0.1976989021015713,0.0314724727268595,0.1916496548763393
GTF2B,0.1706834137091039,0.0313245488332244,0.1848903880394004
HAND1,0.1712798781059225,0.0873458140992677,0.2235196084889347
HELZ2,0.2362677405286299,0.2567101588256489,0.2427820008622091
HES4,0.165214842840236,0.0412793575391806,0.2462860140085191
HES5,0.11576191537559,0.0440666187547624,0.121290140447639
HES7,0.3845308756640935,0.1174664771522679,0.3538640665590323
