perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson
AFF1,0.10059227713305828,0.027887103570407162,0.1003691153340555,0.0167490203105762,0.1115119468955295,0.0308695809348752,0.100330801074498,0.0407896341045833
ALX1,0.11256999613434915,-0.0008250891014557865,0.1118950055141176,-0.01444277136309,0.1316326353656441,-0.0419790199650657,0.111738630916917,0.0207480217382468
ALX4,0.13860634023285848,0.0017643928535075071,0.1373681134720638,0.0039235493259791,0.1588146331545145,0.0138645947526685,0.137723566939384,0.0112796530541007
ARID1A,0.14753368434131786,-0.011906137753091083,0.146335284406389,0.0266099276313463,0.1741533163852762,-0.0576530717930402,0.146229776920741,
ARID3A,0.09372523139550322,0.028586482856328387,0.0932203024307238,0.044144590550966,0.1090102008802106,0.0031172670462256,0.0931688480979668,0.0546293820963108
ARNTL,0.1626614219073571,0.004615150991157002,0.1615969938692401,0.0435343341970224,0.1835532069429819,-0.0158261353861553,0.161584104048846,0.0483433943518078
ATF3,0.10617248709612974,0.0982786248480524,0.105951851564712,0.1031148063437106,0.1122226728123388,0.0189692685946324,0.105146519140555,0.10266611578569
BARX1,0.20995531214194713,-0.02094188336898651,0.2086393163673519,0.0001179291521791,0.223356017623574,-0.001223165162362,0.208546552132917,
BBX,0.3129923577712305,0.01768889476775145,0.3100496947131738,0.0165654090907568,0.2923086312286374,-0.0230983906432073,0.30547145662188,0.0455147858958373
BCL11A,0.26002095459194435,0.017014337680693513,0.2579973114034011,0.0013118270103255,0.2629530258626265,0.0205566892192641,0.257544084336556,0.0417818029088786
BCL11B,0.3079286694470097,0.06966852395210386,0.3069945617200669,0.0744604807307077,0.3176998868946403,0.02157048740486,0.306789995017327,0.0849581406740571
BHLHE40,0.14114979591985258,0.02721592001607548,0.140741589536688,-0.0032221927029764,0.1574308631922379,0.0163745415108821,0.140533434499827,0.0272504926385519
BHLHE41,0.14278867319822303,-0.005361958416049247,0.141652749390282,-0.0374515353547142,0.1626822706922291,-0.0017798002423275,0.141253648952185,
BID,0.11326232205256599,0.04417426414521421,0.1115008994215537,0.0203495838001224,0.1003603914218159,0.0430046236746045,0.104611769881945,0.0135327545784956
BNC1,0.09754599160312868,0.019430923770894698,0.0972549905448309,0.019229458719068,0.1114150565835876,0.0008932407775512,0.097235122066873,
BNC2,0.12767715046390296,0.018189228085470945,0.1271905346171786,0.0183979049870077,0.1501874017376517,-0.0036013544303238,0.127055573573655,0.0419943385037278
BPTF,0.13253347100919588,0.005834390860204477,0.1319777569838984,0.0070221763062962,0.1511138559207263,0.0249517808751541,0.131865443181972,0.0239806821501331
BSX,0.18932725148506158,0.10065823531689685,0.1884667341739624,0.1256304308368835,0.2112765521128349,0.005797061775816,0.188700644453865,0.118201440880282
CARHSP1,0.1711505022107266,0.014505377226417074,0.1546077805580336,-0.0048562496188491,0.1273316810921003,0.0023578894958722,0.142700366984436,-0.012807857693059
CASZ1,0.25909457334077945,0.020851790281734416,0.2564344769918198,0.0043561090790286,0.2559618804798889,-0.0247296451833934,0.257026113889338,
CDX2,0.16862123113626964,0.04672376487577249,0.1679359842580096,0.0321038990619885,0.1975058769695153,-0.0133200694050955,0.167857674657174,0.0400332503437623
CEBPA,0.22328893667315527,0.024951919618118164,0.2222519540158166,0.0284397327019177,0.2211913034369514,0.0610701287280807,0.221694782487585,0.0208375082064458
