perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson
AFF1,0.1004801748896297,0.06780913428005494,0.0999414497367589,0.0939075741448997,0.1100988428707897,0.0766643295354057,0.0996516106083827,0.109682926932591
ALX1,0.11223427730396728,0.007617759315218284,0.111707367474824,0.0371257366182753,0.1341065544803658,-0.0858729809653945,0.111722902987596,0.0343532784601781
ALX4,0.1382977186820112,0.02920614749079977,0.137312251855443,0.0360073343924394,0.1805153435536907,-0.0414796141893607,0.137418598952448,0.0341268435895275
ARID1A,0.14605486977836768,0.08716678659051817,0.1459620696166813,0.0808400415470128,0.1727947718181844,0.0403897516055171,0.145936600352904,0.084081556325791
ARID3A,0.09336650481264779,0.041132041719596016,0.0932094802635433,0.0085691557104903,0.1045564462394064,0.0203631168206261,0.0930791662559395,0.0658866077192953
ARNTL,0.16199028518316652,0.0380533334097095,0.1612550504206627,0.0654449100532937,0.1854958269182916,-0.0034863627244242,0.160997939398435,0.0913585795908147
ATF3,0.10590704990542363,0.11189819008033317,0.1046617843536411,0.1112597398643503,0.1161674751163056,0.0383332773203661,0.10445467709467,0.137977766546324
BARX1,0.2096375194273932,0.039041058452666574,0.2083698046212306,0.0364863210018986,0.2361368462593483,0.0723996819437252,0.207656948243529,0.0977417514065891
BBX,0.31328355709387923,0.003833025501880536,0.3057259590668492,0.0206674596805111,0.2717300224708589,0.0395065542773666,0.305811986182469,-0.0061812619774748
BCL11A,0.25805881470314385,0.03452377351267041,0.2575124921195665,0.0424468644349428,0.2775978257487885,0.0192981614679208,0.257310742269692,0.0500181118641679
BCL11B,0.30956792528975086,0.045062637675554656,0.3079775761398184,0.0245152856363223,0.3362415027523664,-0.0276951256766288,0.307981582289938,0.0087915450937757
BHLHE40,0.14085063741267415,0.02827665591267554,0.1403565280303192,0.0459736125272393,0.1528618540939177,0.0484683909405344,0.140507247225415,0.0298648665923283
BHLHE41,0.14181383682624565,-0.008396567729411756,0.1410797194464421,0.0206308318650489,0.1589995726565249,-0.0010007457127084,0.140959017143861,0.040714686085038
BID,0.11320470673442633,0.05988895804655022,0.1080930819868099,0.0394139576922815,0.1074430952757465,0.0585091712802018,0.104854989326988,0.0721753400724305
BNC1,0.09734594954226361,0.03202589292922996,0.0971204752567374,0.0274929620216272,0.1152969115918452,0.0385223983894423,0.0970971096529722,0.0256890545923566
BNC2,0.12727342617878137,0.04575797040255959,0.1266637551424852,0.0813036743579516,0.1476413857517272,0.0180365366774063,0.126904712440024,0.0565424255375968
BPTF,0.13304163384777284,0.032336618767549445,0.131766811554306,0.0637227246395925,0.1453133632755468,0.0564478426090341,0.131897964064327,0.0465129430290931
BSX,0.19047435583931202,0.10856167765934248,0.1909033739807081,0.0857020852112834,0.2083484623981653,0.0810405193660456,0.189769157303853,0.138527234806208
CARHSP1,0.17188134341613429,0.016763157344352967,0.1571426373017384,0.01491166939865,0.1122201491994975,0.0084479872851962,0.141442279350475,0.0816523931576531
CASZ1,0.25886422299186174,0.016819169116270852,0.2568879636852766,0.0475398296297812,0.2683133281903163,0.0245869156502937,0.256733965745201,0.0466286862301915
CDX2,0.1678097470968203,0.07490009761739742,0.1683580285319535,0.0179080402309917,0.1917950559735116,0.0941621456752705,0.166766462538009,0.0970151069685631
CEBPA,0.22199364876976965,0.06547408033731787,0.2216756111441341,0.0583948485584717,0.2455588422535964,-0.0140823458654107,0.22048824333164,0.103116243244399
CEBPB,0.20520384352739762,0.0663777688307277,0.2044441330088728,0.0928527942316614,0.2193254922665666,0.0253898330177483,0.204585979290868,0.0829428908118395
CREBBP,0.10660901364313083,0.032131235918948176,0.1059863779510339,0.0679548085975366,0.1407860108380287,-0.1034089876846826,0.105929820436277,0.0833199376621013
DLX2,0.115339722394835,0.024809104545582526,0.1147956995418564,0.0130877923339442,0.1470139004351763,-0.026992304680097,0.114731281682329,0.0383627378159413
DLX3,0.1674700594623359,0.011005781795346725,0.1658892142800925,0.0260048991317889,0.2075722877118019,0.0024493408987254,0.164628249775948,0.055284679302974
DMRT1,0.15649767261399755,0.055983279468349356,0.1562796394549956,0.0404703732840109,0.1804643202832614,0.0814377436560135,0.156299059485337,0.0207133283767113
DNAJC1,0.13510599963127753,0.03318694570490352,0.1251781132123616,-0.0027828450428813,0.1119212232287817,0.0659595472413728,0.123046369915357,
EBF2,0.13596677713188762,0.041048147367787016,0.1344535747862842,0.0997838413424574,0.1527956318110457,0.0617976046054454,0.13445102485105,0.115069258817747
EBF3,0.19148676729234146,0.01280314808064954,0.190236848717394,0.068887883188082,0.2130562812171309,0.0781075256395529,0.189857813257009,0.0890516042813616
EGR2,0.14629818223235314,0.019936575693711277,0.1448539733858832,0.0444247564997604,0.1928377959793884,0.0066807754773416,0.145007974262048,0.0595772634858276
EGR3,0.15521363437667055,0.08206251301963871,0.154335798155248,0.1004088805188449,0.1947045239814495,0.0191124496915037,0.154672615906323,0.0862259681053782
ELF4,0.11062169952747845,0.07350220517025496,0.1104320473076258,0.0812487626195838,0.12458229324071,0.0912611049459889,0.110250161660993,0.0963634961382074
ELK3,0.08985960385267577,0.09678415814435375,0.09003387574227,0.0625673441509245,0.0992345444544944,0.0535217673251759,0.0889396931868079,0.119594563659705
EOMES,0.36117773479957777,0.10736748888165423,0.3535382380855628,0.1646276125729828,0.370854061079374,0.1673001605071877,0.355675988904919,0.15316307855482
EP300,0.1389615239430916,0.10553961873493774,0.139001430196488,0.0913111023783538,0.1616400012533348,0.1080897134190432,0.138499261178174,0.124541620976713
EPAS1,0.0970134365687684,0.09933849829505104,0.0958299546763075,0.0683008581708374,0.1426303148753806,0.0343366806170497,0.0948637416184567,0.115132185228081
ESX1,0.1916457331214991,0.05490557149649129,0.1914234628501938,0.0394600347096893,0.2071814688376812,0.070636345276136,0.190494169587077,0.0781763381569507
ETS1,0.18927722385963233,0.12229773726490749,0.1889109032719357,0.1430665933409506,0.2132799101272897,0.0860548216457059,0.1882850253961,0.151658533259346
FEZF2,0.17021522308849116,0.11984847095197333,0.1697523075216542,0.1318833027539036,0.1854155329872032,0.0840141679686056,0.169822404158282,0.118728573335057
FLI1,0.2410953931545793,0.10160420952639367,0.2404160293220308,0.1184354219688177,0.2592036844542162,0.1099562431187353,0.239590064579343,0.136766957929856
FOSB,0.15206688899244034,0.22622529153291054,0.151893365481759,0.221267182946405,0.1789741096585001,0.1308485203241805,0.150882920962446,0.248277829462681
FOSL1,0.12307225620883584,0.06268285614360325,0.122387801073985,0.0926666836310763,0.1459750936350996,0.0090929248379117,0.12257978052797,0.049667876589543
FOSL2,0.18384500690038136,0.030357091217116765,0.1833071410832853,0.0486427814635204,0.2001741374017488,0.0695777914613514,0.183460641117543,
FOXA3,0.20373752325702602,0.0470296670828629,0.2032706247382144,0.0513762335353448,0.2154365211625233,0.1316694525063221,0.202811128672978,0.0942899973049141
FOXC1,0.21722383354571143,-0.010317735362172557,0.2148425232499772,0.0394557202933711,0.2389380658441735,0.02173715742813,0.214989772244914,0.0255837022475925
FOXC2,0.3169285566796884,0.009238015062224356,0.3137682947990813,0.0519501342839715,0.3413954378683277,0.0430673938816256,0.313985097093618,0.0377524304658728
FOXD1,0.13285084974835082,0.058670902543952866,0.1332893780062239,0.0361115054501823,0.1460174589310901,0.0537108140890695,0.131699993150081,0.0984405793421048
FOXD2,0.12144739505858282,0.037508892399940076,0.1208140316547738,0.080730465631982,0.1522368465588703,-0.0019275030498668,0.120913507625433,0.0802749057670517
FOXD3,0.21683364774398692,0.049362741113095236,0.2164401805490931,0.0521526602904289,0.2364670708200493,0.0396391695373362,0.216411121664621,0.0418161704625211
FOXE1,0.25155768014994123,0.04760322139359026,0.2511531043556145,0.0216413948050595,0.2708273230973937,0.0655532696314283,0.24956176053655,0.063281121893958
FOXE3,0.1616415001456875,0.06619217571918821,0.1614374780165136,0.0674518464096205,0.1826591172523413,0.0519681309521056,0.161396368094174,0.07054413164267
FOXF1,0.18045164804680605,0.20856533518107243,0.1811625988220019,0.1876313985711319,0.212318230081821,0.1377151340912936,0.179982087977353,0.212620803514046
FOXF2,0.1444506975569029,0.17219226486408395,0.1450950966503376,0.1380536276591724,0.1674583193446182,0.120534706808882,0.144087094861092,0.184015040030536
FOXI3,0.17040320593640085,0.16115046182659581,0.1695912679602338,0.1792260488787392,0.1963961784884328,0.1542437766471975,0.168503394905917,0.211322327232036
FOXJ1,0.2556959212068111,0.07819532824049188,0.2435690309106456,0.0416314777646891,0.4567388620345318,0.0057524571567508,0.231487563223416,0.0743149001163558
FOXL2,0.1580521607478204,0.14511874334319505,0.1533891887801756,0.1947991258414925,0.1803660280991219,0.1709702127284749,0.152835583147469,0.215264693957289
FOXP4,0.1483808089853137,0.15658202777207755,0.1484413217813249,0.1683343328239249,0.1727227206169309,0.0184157934410185,0.147928632069746,0.170291479054697
GATA2,0.2777912421830471,0.14410078467182325,0.2773230902389641,0.1127403877807668,0.2844305163559678,0.1312566837059907,0.275693371917148,0.135672109232119
GATA3,0.14157679091779754,0.22870614505966672,0.1417681677895926,0.2223604328043188,0.1689732018527492,0.1269259226008533,0.140837832031491,0.243778687849547
GATA4,0.21094524358875869,0.14324208169569047,0.211160644665158,0.111939494999602,0.2295476940220606,0.116718091770988,0.209877068087276,0.149492267480262
GATA6,0.23183411845551755,0.10644043832106673,0.231475251069635,0.0955041061232588,0.2719026846590043,0.0729758825075248,0.231088128609384,0.124075068160947
GFI1,0.13976745548735442,0.0813315938773195,0.1398671131661385,0.0594698574502027,0.1625507326048733,0.0584369831002159,0.139770405075605,0.0738280875147309
GLI1,0.2015812367415513,0.09215488865022774,0.1983977664885094,0.1502055695711358,0.2279111896264592,0.0699473641985066,0.198591423006306,0.129754462269951
GLIS3,0.15766428190297094,0.09984645580649838,0.1572765818102667,0.1083395690119691,0.1834311321675268,0.1112828342252263,0.155628729591005,0.163728203835734
GSC,0.18581076630382742,0.08818431774496686,0.1856199293903901,0.0934613926167416,0.2141420792378665,-0.0065400754501608,0.18530851974848,0.102164119273457
GSX2,0.172573759564268,0.053547601487462335,0.1720672712298112,0.0431312584727742,0.1976989021015713,0.0314724727268595,0.171654301879689,0.0890232498991917
GTF2B,0.16290843883762623,0.02128924221739454,0.1609312120915202,0.0467041415265728,0.1706834137091039,0.0313245488332244,0.16120284624474,0.0397897415142688
HAND1,0.20246684976618676,0.005132322085393392,0.1958722195320001,0.0423361697149417,0.1712798781059225,0.0873458140992677,0.190040390651547,0.0793755967667918
HELZ2,0.23051614165296533,0.25030552373547416,0.2292982045000036,0.2594585446261808,0.2362677405286299,0.2567101588256489,0.229094209715539,0.255670702225727
HES4,0.25643769452740234,0.017031834311768412,0.2110539336568618,0.0247803112729194,0.165214842840236,0.0412793575391806,0.210607192307213,
HES5,0.10107737861331184,0.07051752146125624,0.1005682489650278,0.1066177388866609,0.11576191537559,0.0440666187547624,0.100437381476464,0.109014120453965
HES7,0.34454912979250785,0.15074567387683896,0.3423684898489258,0.1768138328212865,0.3845308756640935,0.1174664771522679,0.340433722537088,0.200277673122736
HHEX,0.2060582013905555,0.1119216511138478,0.2054951545681866,0.1140205322689163,0.2296962198468856,0.1098516837088744,0.204325986582117,0.161250280705564
HIC1,0.13480823577248563,0.041600127091478936,0.1342035032455261,0.0571267590425943,0.1504466711394546,0.0531298029353052,0.134038802318074,0.0290739716569142
HIVEP1,0.14686998007786053,0.18859355886936294,0.1463794886663676,0.2040047985094482,0.16886388927248,0.1053295107954276,0.146723584684446,0.19486628599483
HMGA1,0.19147190035333517,0.05299681000531294,0.192467593640064,0.0257986130990616,0.2005792594128692,0.0316581628702453,0.189354803468196,0.0481258145689377
HMGN2,0.1746931152601958,0.09360260099141389,0.1730160890049512,0.0800770075382771,0.1849988022366379,0.0873791939117654,0.172408297252017,0.118609205533466
HMX3,0.18142355100018834,0.06765178231477166,0.1804897905262585,0.0648025429066105,0.2137801620510046,0.0628332084578008,0.180847625064913,0.0580941190713963
HNF1B,0.30755503969355785,0.01627176094966987,0.3055365031469549,0.0327895001396585,0.3190331158311986,0.0004343137366256,0.304974415260177,
HNRNPAB,0.4617918462269756,0.045147847993350934,0.4586490337340886,0.062640694107687,0.4731374568231493,0.074490182433838,0.458350341105757,0.0747395274358218
HOXA13,0.2866914408894653,0.03392789874720074,0.2848863092600014,0.0446716433081566,0.3104653483758791,0.0457787868024901,0.285540197940047,0.0556272288426369
HOXC13,0.26656148379246003,0.020067249287224902,0.2656933771616792,0.017474088456542,0.2904968806625829,0.002269491788822,0.265688422229798,0.0145826471597843
HOXC9,0.19804311755082776,0.04223758251305114,0.1967299177153512,0.0504340491205171,0.2186937622776351,0.0459304028278159,0.196693092039328,0.0734959251175466
IFI16,0.14334403041885413,0.019635303546489298,0.1417113782246667,0.0394457012079986,0.1429573311377163,0.0592068444418778,0.138434621631842,
IKZF2,0.15487660764382588,0.04521657967580299,0.1543624238770851,0.0545290828097677,0.1748869721945765,0.0013341591411842,0.154456848457742,0.0570280207505141
IKZF5,0.2215149118237138,0.06266415675974046,0.2208994637020645,0.0816466691569351,0.2478284782333308,0.0279721415872042,0.220370538412325,0.086329299251854
