perturbation,fold,rmse,pearson_corr,best_n_estimators,best_max_depth,best_learning_rate,best_subsample
AFF1,0,0.09998381067472126,-0.02170156096476214,100,3,0.01,1.0
AFF1,1,0.10032544947017054,0.049046578472607585,100,3,0.01,0.8
AFF1,2,0.09890209869341003,0.00805191613772821,100,3,0.01,0.8
AFF1,3,0.10579761580525286,0.0326375059280625,200,3,0.01,0.8
AFF1,4,0.09706225264968144,-0.018673388072340535,100,3,0.01,0.8
ALX1,0,0.11465257638455742,-0.0050898425909095815,100,3,0.01,0.8
ALX1,1,0.11252316481126765,-0.06277573870895407,100,3,0.01,0.8
ALX1,2,0.10999542166726582,-0.01808763371305853,100,3,0.01,0.8
ALX1,3,0.11278488424970816,0.0054146491363304215,100,3,0.01,0.8
ALX1,4,0.10960194780986006,-0.0014875999089551863,100,3,0.01,1.0
ALX4,0,0.14211985783669556,-0.016474337508157074,100,3,0.01,0.8
ALX4,1,0.1629646925221868,-0.03579270858283614,100,3,0.01,1.0
ALX4,2,0.12481737259854882,0.023688085951878726,100,3,0.01,1.0
ALX4,3,0.13230639759259796,0.023947974232297733,100,3,0.01,0.8
ALX4,4,0.1249162589176737,-0.0243768120052164,100,3,0.01,1.0
ARID1A,0,0.14956663143792445,0.02607440920416954,100,3,0.01,0.8
ARID1A,1,0.1441862176309879,0.08465777342793324,100,3,0.01,0.8
ARID1A,2,0.1480722179213219,0.01776371691178509,100,6,0.01,0.8
ARID1A,3,0.1450108000303126,-0.004660252168583583,100,3,0.01,0.8
ARID1A,4,0.14490180344131268,0.023503753992493662,100,3,0.01,0.8
ARID3A,0,0.09512718372056779,-0.0001723681473527882,100,3,0.01,1.0
ARID3A,1,0.09564950377059864,0.07171661281003235,100,3,0.01,0.8
ARID3A,2,0.09594792119003702,0.07609094499929164,100,3,0.01,0.8
ARID3A,3,0.08652083116088749,0.057045729549566666,100,3,0.01,1.0
ARID3A,4,0.09297045826738595,0.03973237539208371,100,3,0.01,0.8
ARNTL,0,0.1612996737632643,0.027290475763217213,100,3,0.01,0.8
ARNTL,1,0.16486724928117505,0.08628667605491912,100,3,0.01,0.8
ARNTL,2,0.15763800672495393,-0.008852826325570754,100,3,0.01,0.8
ARNTL,3,0.16710128109270353,0.05455558936038996,100,3,0.01,0.8
ARNTL,4,0.1570787584841041,0.058391756132156455,100,3,0.01,0.8
ATF3,0,0.09752256344209385,0.06227433037252243,100,6,0.01,1.0
ATF3,1,0.13583270372576173,0.13818334971601115,200,3,0.01,0.8
ATF3,2,0.10548984270623428,0.07817186344204241,100,3,0.01,1.0
ATF3,3,0.09669765345788335,0.13661850730574152,100,6,0.01,0.8
ATF3,4,0.09903221560761753,0.09879943170013043,100,9,0.01,0.8
BARX1,0,0.19920707614843539,-0.005882574397980698,100,3,0.01,1.0
BARX1,1,0.22627389651586988,-0.01683391104548316,100,3,0.01,0.8
BARX1,2,0.2062885632334089,-0.03497057127999608,100,3,0.01,0.8
BARX1,3,0.20177969680776095,0.014113460733005314,100,3,0.01,0.8
BARX1,4,0.21004579303983456,0.016889104447421623,100,3,0.01,0.8
BBX,0,0.2692278320462157,-0.014378458191254589,100,3,0.01,0.8
BBX,1,0.30032970917873164,0.05023571379884683,100,3,0.01,0.8
BBX,2,0.42786826943424,0.0507910104403583,100,3,0.01,1.0
BBX,3,0.2753218619523269,-0.004374830801396,100,6,0.01,0.8
BBX,4,0.278334852262824,0.007701049469313731,100,6,0.01,0.8
BCL11A,0,0.24468044778588327,-0.028786403457473023,100,3,0.01,0.8
BCL11A,1,0.2598220725935017,0.028405870090144343,100,3,0.01,0.8
BCL11A,2,0.27395377539346216,0.038554413578755144,100,3,0.01,0.8
BCL11A,3,0.25594492341549974,-0.02070334203373426,100,3,0.01,0.8
BCL11A,4,0.25558533782865883,-0.010911403126064551,100,3,0.01,0.8
BCL11B,0,0.2981169930423539,0.04813028425368696,100,3,0.01,1.0
BCL11B,1,0.30414350867388823,0.05847202615757669,100,3,0.01,0.8
BCL11B,2,0.32070587381997046,0.1083298589030462,100,3,0.01,0.8
BCL11B,3,0.3100955194125157,0.04183721328786335,200,3,0.01,1.0
BCL11B,4,0.3032118275992497,0.07833541982035151,100,3,0.01,0.8
BHLHE40,0,0.13681378795104113,0.03466856198526638,100,3,0.01,0.8
BHLHE40,1,0.14069663643839303,0.010546169035403525,100,3,0.01,0.8
BHLHE40,2,0.14499801809395124,0.0012969830131633051,100,3,0.01,0.8
BHLHE40,3,0.14232235104459146,-0.02717689536536118,100,3,0.01,0.8
BHLHE40,4,0.13887715415546337,-0.03544578218335404,100,3,0.01,0.8
BHLHE41,0,0.1442207410817348,-0.07192884274450434,100,3,0.01,0.8
BHLHE41,1,0.14307269048993335,-0.055686447020668904,100,3,0.01,0.8
BHLHE41,2,0.14003467539232284,0.002071276661446269,100,3,0.01,0.8
BHLHE41,3,0.13766115257105987,-0.04167169353854452,100,3,0.01,0.8
BHLHE41,4,0.14327448741635923,-0.020041970131299554,100,3,0.01,0.8
BID,0,0.09695844387656974,-0.03232052536079594,100,3,0.01,0.8
BID,1,0.08922964751881476,0.04739982348768782,100,3,0.01,0.8
BID,2,0.1030834728322999,-0.022200792970133634,100,6,0.01,0.8
BID,3,0.07959742564038386,0.08161811183104185,100,3,0.01,0.8
BID,4,0.188632680039184,0.02985637141790384,100,3,0.01,0.8
BNC1,0,0.09757968120069843,0.02447796108980572,100,3,0.01,0.8
BNC1,1,0.10143449436011588,0.005346909647652948,100,3,0.01,0.8
BNC1,2,0.09536215885323249,0.03638285771033715,100,3,0.01,1.0
BNC1,3,0.09659032480796799,0.025714345996528633,100,3,0.01,0.8
BNC1,4,0.09539938101815224,-0.01610795935149922,100,3,0.01,0.8
BNC2,0,0.13021143056944035,0.041690910720456005,100,3,0.01,0.8
BNC2,1,0.13367188672877403,0.011277541463566621,100,3,0.01,0.8
BNC2,2,0.12130848086260197,0.03351154159587424,100,3,0.01,0.8
BNC2,3,0.12546710436739988,-0.0071577416154865,100,3,0.01,0.8
BNC2,4,0.12529377055767676,0.012667272770628471,100,3,0.01,0.8
BPTF,0,0.13257968658401492,0.008967638716269932,100,3,0.01,1.0
BPTF,1,0.1252924543052344,0.019276733550153313,100,3,0.01,0.8
BPTF,2,0.13376200238409786,0.0007768300325804225,100,3,0.01,0.8
BPTF,3,0.13617201972806076,0.010953564450187898,100,3,0.01,1.0
BPTF,4,0.13212904389327523,-0.003912915465414237,100,3,0.01,0.8
BSX,0,0.1898411504383147,0.10723536409773769,200,3,0.01,0.8
BSX,1,0.20794468026181237,0.14394799913583653,100,9,0.01,0.8
BSX,2,0.1866132551695997,0.09088569811357629,200,3,0.01,1.0
BSX,3,0.1872046409238406,0.11818478629150296,100,3,0.01,0.8
BSX,4,0.1710991031871566,0.12888758335727699,100,6,0.01,0.8
CARHSP1,0,0.09681871294316129,-0.017325322666005605,100,6,0.01,0.8
CARHSP1,1,0.33260174943552245,-0.005010956691487677,100,3,0.01,0.8
CARHSP1,2,0.09388741165062076,0.012396878382731702,100,3,0.01,0.8
CARHSP1,3,0.11031375315538969,-0.055715474694155,100,3,0.01,0.8
CARHSP1,4,0.13961860728902456,0.024652777810486564,100,3,0.01,0.8
CASZ1,0,0.23344619047395723,-0.0081377924720172,100,3,0.01,0.8
CASZ1,1,0.2650799498110657,0.04826878516446643,100,3,0.01,0.8
CASZ1,2,0.23300774691996862,0.01817778547593521,100,3,0.01,0.8
CASZ1,3,0.2346965455971448,-0.012543811521298728,100,3,0.01,0.8
CASZ1,4,0.315927235842047,-0.011051441948406644,100,3,0.01,1.0
CDX2,0,0.17836725379774743,-0.011861098487141944,100,3,0.01,1.0
CDX2,1,0.1594383625678443,0.039394251753103605,100,3,0.01,0.8
CDX2,2,0.14719142379972838,0.07351647089117326,100,3,0.01,0.8
CDX2,3,0.17948040811452654,0.05366476273267497,100,3,0.01,0.8
CDX2,4,0.1753254438471103,-0.00610841644715619,100,3,0.01,0.8
CEBPA,0,0.20606475606579158,0.04459288735215345,100,3,0.01,0.8
CEBPA,1,0.20439902805960125,-0.01231313318203217,100,3,0.01,1.0
CEBPA,2,0.23029152114171175,0.053940541741203295,100,3,0.01,0.8
CEBPA,3,0.23191807052419747,0.018940071570944027,100,3,0.01,0.8
CEBPA,4,0.2388664776177729,0.029171238953833493,100,3,0.01,0.8
CEBPB,0,0.2014998029919312,0.05261633020205547,100,3,0.01,0.8
CEBPB,1,0.20573201163692048,-0.002510534512715063,100,3,0.01,0.8
CEBPB,2,0.208019203444338,0.0497791547461736,100,3,0.01,0.8
CEBPB,3,0.1937388494094902,0.039029339901586975,100,3,0.01,0.8
CEBPB,4,0.21830047974172248,0.10133191117899312,100,3,0.01,0.8
CREBBP,0,0.10088617460925194,0.021204335361417997,100,3,0.01,0.8
CREBBP,1,0.10678950814330714,0.018958734806346716,100,6,0.01,0.8
CREBBP,2,0.10271674123284202,0.020503548028315263,100,3,0.01,0.8
CREBBP,3,0.11350097684866389,0.06605693642455636,100,3,0.01,0.8
CREBBP,4,0.10829924881762046,0.013079686175962573,100,3,0.01,0.8
DLX2,0,0.11386047179855777,-0.021436207363179163,100,3,0.01,0.8
DLX2,1,0.1257307397987319,0.03306566405363925,100,3,0.01,0.8
DLX2,2,0.10532361263559009,-0.029518760228095086,100,3,0.01,0.8
DLX2,3,0.11928385409348623,-0.0004940700055098595,100,3,0.01,0.8
DLX2,4,0.11226330481297747,0.031758528923125286,100,3,0.01,0.8
DLX3,0,0.14902241430638427,0.02316493549088981,100,3,0.01,0.8
DLX3,1,0.1797686842562664,0.012470817670537255,100,6,0.01,0.8
DLX3,2,0.1505774187592025,0.11185732536090849,100,3,0.01,0.8
DLX3,3,0.18572657679437635,-0.0027822129280119633,100,3,0.01,0.8
DLX3,4,0.1657091829372238,-0.025302022232397744,100,3,0.01,0.8
DMRT1,0,0.14441992111069327,0.010315038434263272,100,3,0.01,0.8
DMRT1,1,0.15095762713445543,-0.007030457065520157,100,3,0.01,0.8
DMRT1,2,0.15411363245060428,0.04054230710152437,100,3,0.01,1.0
DMRT1,3,0.15525319764477563,0.0294723279413099,100,3,0.01,0.8
