perturbation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
AFF1,0.0271716,0.029153725,0.028981227,0.026089275,0.026182236,0.029740512,0.024546666,0.026271556,0.032854952,0.036052037,0.03722046,0.032125846,0.053423613,0.022036176,0.031060047,0.03678157,0.02516493,0.034500726,0.032160755,0.023765815,0.037157837,0.024284828,0.030606365,0.029258674,0.03964384,0.02534376,0.029786125,0.039328013,0.037986666,0.037220616,0.022150362,0.031949177
ALX1,0.02736487,0.0317326,0.0357918,0.030150652,0.031793643,0.02822408,0.036047876,0.03137812,0.035203584,0.03386945,0.037425574,0.031506754,0.03395308,0.030101778,0.02965902,0.034151997,0.028670648,0.03644394,0.029330565,0.030598974,0.030319119,0.028776526,0.031422656,0.023331383,0.025814516,0.028312419,0.02919181,0.033987194,0.031159807,0.03828291,0.0278444,0.028158262
ALX4,0.0088700075,0.02241885,0.07810965,0.024122495,0.045422655,0.021510582,0.026880194,0.021366186,0.017457962,0.022211256,0.023373201,0.01887696,0.022236,0.07302648,0.016778026,0.03211085,0.015757354,0.025592422,0.02104118,0.018898875,0.025092004,0.022435915,0.015645104,0.05844908,0.012151541,0.12295575,0.0589994,0.018830448,0.031158594,0.020352175,0.033987563,0.023881244
ARID1A,0.040623855,0.030826079,0.027202662,0.02537062,0.028330155,0.02724039,0.039513648,0.031052643,0.03063476,0.030456623,0.035691414,0.030934444,0.029152773,0.029971663,0.030615473,0.032805268,0.03020448,0.031544007,0.035387706,0.029471736,0.028232457,0.034084514,0.033424348,0.024307178,0.031012833,0.021849703,0.034744635,0.030701151,0.04559641,0.02989161,0.030154273,0.028970461
ARID3A,0.0135695,0.037707582,0.024705084,0.020874213,0.030129706,0.03922947,0.035337623,0.02612056,0.028797356,0.028417667,0.018550746,0.027470322,0.03133076,0.03189313,0.031024534,0.031792928,0.033585485,0.032959737,0.03164954,0.021914864,0.03649441,0.035685398,0.054150876,0.04123837,0.017100167,0.058627907,0.02725941,0.032278668,0.04158497,0.027070548,0.025061341,0.026387097
ARNTL,0.03159972,0.034619655,0.026120529,0.026610104,0.029051686,0.035474475,0.037546195,0.027462177,0.023783255,0.03554499,0.02809846,0.024474518,0.019612312,0.032598447,0.03458131,0.020587498,0.034296233,0.026279837,0.033672713,0.03274847,0.02822449,0.031503227,0.028879082,0.03476965,0.03259924,0.02613233,0.029994098,0.027843604,0.043296065,0.055202577,0.0342613,0.03253181
ATF3,0.019419933,0.017961074,0.026572697,0.01561015,0.0188857,0.023224043,0.022656836,0.058070306,0.01415232,0.015112023,0.016240653,0.020749483,0.04468623,0.019088956,0.018551575,0.039953247,0.018172884,0.10202815,0.02219104,0.017478697,0.14874837,0.022758318,0.021631291,0.02315655,0.061463516,0.016054353,0.016331308,0.017616663,0.034192335,0.024458658,0.045398474,0.017384147
BARX1,0.022864083,0.036667217,0.02177589,0.037943635,0.030744351,0.028887546,0.048912045,0.03917124,0.022326939,0.029124929,0.032710757,0.026576456,0.03301509,0.028070671,0.032741845,0.032303445,0.035895713,0.034629352,0.026817283,0.028194562,0.034245845,0.038627386,0.023322068,0.03658143,0.04243587,0.030032765,0.029454777,0.023396114,0.03195384,0.030830074,0.010472235,0.03927445
BBX,0.12042724,0.045567207,0.013128671,0.0132643115,0.01504097,0.020124178,0.01528429,0.018684462,0.075218596,0.014069817,0.08612902,0.015891783,0.012811892,0.0660793,0.011924596,0.013137837,0.012148428,0.017137656,0.013401133,0.010335729,0.011906731,0.010937892,0.01589344,0.03804355,0.04248118,0.015118478,0.020451501,0.12826802,0.01433487,0.012185039,0.065585345,0.014986779
BCL11A,0.0162754,0.018970499,0.022426875,0.019759307,0.022002986,0.033747595,0.030692497,0.03150557,0.034854025,0.028759642,0.041480362,0.0245729,0.031686917,0.04161011,0.046033386,0.03422709,0.04245796,0.029796228,0.029330783,0.027394956,0.033011742,0.025435466,0.031312224,0.034190267,0.036011286,0.035440866,0.035555124,0.03858472,0.032838274,0.021845853,0.036211196,0.03197794
BCL11B,0.02722247,0.032172862,0.028425973,0.041302584,0.030116376,0.03411265,0.03110384,0.03476439,0.029613622,0.032932088,0.023570847,0.028790997,0.032637164,0.030266786,0.03248023,0.033655148,0.032915168,0.038874142,0.028140714,0.03263419,0.030262908,0.028880693,0.029715568,0.0342035,0.030303502,0.03263769,0.029221632,0.03177674,0.027742516,0.024733651,0.032298382,0.032490984
BHLHE40,0.023079757,0.02634017,0.01937416,0.032161232,0.026437754,0.03152953,0.023696361,0.022317316,0.030826686,0.023018999,0.030126141,0.05489966,0.029028432,0.02922931,0.028618207,0.037025776,0.02259422,0.04458055,0.04624305,0.029310867,0.034302603,0.04917447,0.022727517,0.03562691,0.02164515,0.025405213,0.021709772,0.030609438,0.03489034,0.033188567,0.049728036,0.030553853
BHLHE41,0.028589034,0.034279473,0.033036705,0.029176287,0.03234749,0.028975952,0.031706445,0.02903096,0.022325424,0.03159592,0.032954216,0.035564695,0.03294861,0.03240858,0.027730728,0.032706268,0.032807957,0.028989919,0.029200912,0.032931667,0.030263767,0.026052995,0.04078754,0.034696933,0.032385144,0.028754933,0.025651986,0.029979223,0.030449914,0.028793437,0.03001211,0.042864744
BID,0.0739532,0.04340228,0.007943752,0.055590708,0.26727077,0.0065323594,0.0062984712,0.011764606,0.0049264464,0.0061962483,0.0042913277,0.006632793,0.0040728827,0.0044250097,0.1925703,0.004453179,0.0042319596,0.00755084,0.004384514,0.0045879586,0.0049963812,0.0046479213,0.0049710646,0.0043132794,0.004947353,0.004376447,0.0040316284,0.052689176,0.006846389,0.00446817,0.17846406,0.0041685873
BNC1,0.021497471,0.027877744,0.022660945,0.033536438,0.03190673,0.03663164,0.030535068,0.026848152,0.028698385,0.03191239,0.030837836,0.032212738,0.027446391,0.031385206,0.027072633,0.030866435,0.035482608,0.034699842,0.016701771,0.036893103,0.033153232,0.026693145,0.03600465,0.029744735,0.044459686,0.03508432,0.031353295,0.035879884,0.0311155,0.034941964,0.032603435,0.033262596
BNC2,0.011638832,0.017583152,0.027100805,0.021931222,0.031314597,0.026752798,0.030797277,0.020958662,0.024588834,0.028695337,0.02958591,0.0360924,0.0322116,0.028222116,0.033833496,0.033442188,0.040550604,0.039441384,0.035168465,0.03265267,0.03126692,0.038487494,0.03189341,0.026689801,0.03391454,0.03188686,0.03410801,0.03771826,0.04311517,0.035055116,0.028305171,0.044996914
BPTF,0.024568422,0.03320252,0.033895116,0.034073763,0.035468623,0.02980025,0.03327437,0.029248113,0.03111571,0.041681655,0.029717753,0.0348912,0.026852038,0.028590102,0.033898927,0.031057194,0.03143588,0.033383355,0.027498405,0.02846579,0.027497156,0.033633333,0.032134634,0.035032928,0.025351722,0.028275793,0.027831513,0.031622924,0.03861204,0.030953389,0.02943691,0.027498463
