perturbation,fold,rmse,pearson_corr,best_n_estimators,best_max_depth,best_learning_rate,best_subsample
AFF1,0,0.09826332720856391,0.1402899972601225,100,6,0.01,0.8
AFF1,1,0.09800382674642462,0.01763280603750458,100,3,0.01,0.8
AFF1,2,0.10036700281816885,0.14895354213985434,100,3,0.01,0.8
AFF1,3,0.10253889715791832,0.10361207146177102,100,3,0.01,0.8
AFF1,4,0.1006421614350292,0.03212058590018331,100,6,0.01,0.8
ALX1,0,0.11177811350605144,0.03211066220358931,100,3,0.01,0.8
ALX1,1,0.1117266965765492,-0.00635180017572121,100,3,0.01,0.8
ALX1,2,0.11011479189355153,0.11225631684802603,100,3,0.01,0.8
ALX1,3,0.11432659979525817,0.002391191493935742,100,3,0.01,1.0
ALX1,4,0.1109687487724322,0.025247532636126828,100,9,0.01,0.8
ALX4,0,0.15902087052341995,-0.02032075876851111,100,3,0.01,0.8
ALX4,1,0.13940899283693758,0.003220853822059744,100,3,0.01,0.8
ALX4,2,0.12473191860457147,0.03878994356109592,100,3,0.01,0.8
ALX4,3,0.12728854348835994,0.12816781207231429,100,3,0.01,0.8
ALX4,4,0.1365082757521345,0.0040992636937371265,100,6,0.01,0.8
ARID1A,0,0.15049265209029422,0.07283364760447837,100,3,0.01,0.8
ARID1A,1,0.1495118545415514,0.08932366608787025,100,3,0.01,0.8
ARID1A,2,0.14441616036637814,0.039099424318692934,100,9,0.01,0.8
ARID1A,3,0.14335603968949429,0.08795235834406272,100,3,0.01,1.0
ARID1A,4,0.14245275620720688,0.09207499233367068,100,6,0.01,0.8
ARID3A,0,0.0901096058231698,0.016874219491449287,100,3,0.01,0.8
ARID3A,1,0.09033392889657288,0.023083030873032373,100,3,0.01,0.8
ARID3A,2,0.08623277964550057,0.010111733172217988,100,3,0.01,0.8
ARID3A,3,0.09792485462856246,0.022851728697560712,100,3,0.01,1.0
ARID3A,4,0.10168709560484611,-0.008951070276441537,100,9,0.01,0.8
ARNTL,0,0.16391982480498896,0.0385228871163438,100,3,0.01,0.8
ARNTL,1,0.15599082255621108,0.10430511960454857,100,3,0.01,0.8
ARNTL,2,0.16978524672881617,0.0660510064535657,100,3,0.01,0.8
ARNTL,3,0.15513401527608706,0.04379496564083864,100,6,0.01,0.8
ARNTL,4,0.161737455618198,0.06729394703082799,100,3,0.01,0.8
ATF3,0,0.0955924458879937,0.1913479713402724,100,3,0.01,0.8
ATF3,1,0.09635618168786035,0.0390417324356771,100,3,0.01,0.8
ATF3,2,0.13527172703642656,0.08517672144280754,200,3,0.01,0.8
ATF3,3,0.10248243036539358,0.0893058458970089,100,3,0.01,0.8
ATF3,4,0.09352562109421957,0.15698568774943006,100,3,0.01,0.8
BARX1,0,0.21944828243436879,0.04475976779383295,100,3,0.01,0.8
BARX1,1,0.20686423896302006,-0.0034056322853336903,100,6,0.01,0.8
BARX1,2,0.22011785539250583,0.04163100515926968,200,3,0.01,0.8
BARX1,3,0.20530669828538992,0.07444541406129317,100,6,0.01,0.8
BARX1,4,0.1904032535577119,0.06189984488180905,100,3,0.01,0.8
BBX,0,0.25365410621925666,0.037424023243970775,100,3,0.01,1.0
BBX,1,0.2690350491457952,0.02350234434921688,100,3,0.01,1.0
BBX,2,0.30598358561690053,-0.005491918918553626,100,3,0.01,0.8
BBX,3,0.276647168633572,0.011716374380300904,100,3,0.01,0.8
BBX,4,0.42344999547403606,0.022255608767593364,100,3,0.01,0.8
BCL11A,0,0.25954260569580856,0.008446417099271524,100,9,0.01,0.8
BCL11A,1,0.25648656290582117,0.03672468066040113,100,6,0.01,0.8
BCL11A,2,0.26415631031342013,0.028110768805141184,100,6,0.01,0.8
BCL11A,3,0.25215920249996343,0.1139401935883798,100,6,0.01,0.8
BCL11A,4,0.25538069963616766,0.032897906366330915,100,6,0.01,0.8
BCL11B,0,0.3155059745989066,0.02282776322839222,100,3,0.01,0.8
BCL11B,1,0.303360747204191,0.003687242132350195,100,3,0.01,0.8
BCL11B,2,0.31609764709023414,0.00014946026278300927,100,3,0.01,0.8
BCL11B,3,0.30521916724820414,0.053943949935512596,100,3,0.01,0.8
BCL11B,4,0.3004215711395233,0.01500498362509304,100,6,0.01,0.8
BHLHE40,0,0.1369857183917959,0.014751176486375694,100,9,0.01,0.8
BHLHE40,1,0.14699685590526365,0.031613474868447615,100,6,0.01,0.8
