perturbation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
AFF1,0.020936001,0.03367142,0.03053726,0.01969701,0.026898092,0.032272834,0.031295996,0.028955368,0.030142287,0.034619905,0.028616209,0.047603495,0.03333031,0.034112815,0.030030679,0.018905496,0.027222525,0.03203894,0.029974012,0.036573116,0.036301352,0.039609276,0.03458015,0.032165226,0.03089667,0.033303168,0.031558435,0.03698081,0.030012652,0.034317918,0.025228158,0.02761243
ALX1,0.030372832,0.032416213,0.028405558,0.031946745,0.023208018,0.03390857,0.029903488,0.03367707,0.026317636,0.032483585,0.025639225,0.03283332,0.030565374,0.025764503,0.031207578,0.03260406,0.028832214,0.03414893,0.030391932,0.027849894,0.03264929,0.030590832,0.039668374,0.039144386,0.031659838,0.032512277,0.031966347,0.02999012,0.032123826,0.033195596,0.031689573,0.032332808
ALX4,0.07949769,0.015057255,0.07851734,0.020385655,0.023981884,0.044287767,0.026151573,0.021441264,0.032939035,0.17052375,0.02386933,0.020127658,0.012056854,0.024999298,0.007775323,0.06563929,0.018054748,0.023206646,0.019470619,0.0151226,0.032111846,0.022241248,0.022809729,0.021199577,0.015134465,0.0219653,0.017133022,0.013113554,0.019638153,0.024155779,0.020624511,0.02676721
ARID1A,0.020915432,0.027104355,0.031249076,0.02883525,0.030702356,0.026591698,0.030281454,0.031923827,0.031444788,0.033225488,0.040028237,0.035335023,0.030593561,0.03306791,0.031126454,0.033100195,0.034796234,0.029895518,0.031727217,0.034936804,0.032626137,0.03128862,0.028994972,0.030495223,0.033280093,0.036521476,0.030971844,0.033102423,0.029254846,0.030706286,0.031140348,0.024736868
ARID3A,0.032837134,0.029745905,0.028077776,0.034577686,0.036563836,0.023793865,0.024993287,0.028281555,0.027888829,0.021442989,0.025625236,0.032613367,0.03741148,0.034041744,0.047475204,0.031779543,0.022860296,0.031728987,0.03292421,0.027140096,0.020472925,0.030372834,0.03420772,0.057607226,0.029955275,0.026153842,0.02498526,0.024048306,0.031103557,0.04409168,0.028805023,0.036393374
ARNTL,0.026794344,0.033846702,0.02159956,0.022257907,0.027611561,0.030888015,0.036135294,0.032209434,0.033846002,0.025386233,0.03446446,0.030946916,0.026008993,0.032752775,0.030585764,0.029201636,0.03164727,0.02990089,0.039612662,0.027039414,0.028611075,0.037478235,0.032878086,0.026282594,0.031493515,0.0334329,0.028296554,0.042080674,0.031340707,0.038994547,0.029116875,0.037258465
ATF3,0.08624697,0.13081978,0.04817311,0.012816875,0.0069495495,0.04405067,0.056809872,0.013934439,0.06956622,0.008283702,0.008908154,0.012014242,0.018728469,0.021353692,0.011624042,0.010912759,0.08450109,0.119257875,0.032304086,0.013850527,0.00925646,0.007590167,0.008353241,0.07389502,0.011372244,0.013576328,0.01459912,0.010711937,0.012400389,0.007880097,0.0106861,0.00857277
BARX1,0.025429912,0.022838047,0.033601686,0.038490828,0.029155167,0.02839041,0.042934056,0.032965563,0.032283247,0.038312048,0.038882766,0.026066635,0.02196011,0.02534675,0.02450136,0.034142166,0.03481788,0.03904395,0.03277874,0.027051708,0.03011437,0.03322562,0.028423917,0.030454217,0.03147124,0.025948016,0.0329372,0.031161552,0.032956805,0.025753647,0.035742316,0.032818083
BBX,0.011185881,0.10353322,0.009448318,0.25998873,0.3213839,0.0068231113,0.008112996,0.009840187,0.008414581,0.009963046,0.0082324855,0.00839545,0.01065924,0.00909413,0.007464474,0.010114174,0.008893257,0.010907697,0.0076002795,0.009017296,0.009415806,0.010588001,0.009642101,0.009389557,0.008207288,0.010922677,0.011942257,0.05967502,0.01033914,0.0,0.00733137,0.013474346
BCL11A,0.029296303,0.023566203,0.033595566,0.027618831,0.026427234,0.035058286,0.03804049,0.037290063,0.03146878,0.031700533,0.02760378,0.030222593,0.033870585,0.03579326,0.0291007,0.033346254,0.0310441,0.03674447,0.032207433,0.028918207,0.03654651,0.034828134,0.033767425,0.026686396,0.02958416,0.030322367,0.027410176,0.032460593,0.031225486,0.028890176,0.025383348,0.029981583
