perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Best_RMSE_Model,Best_Pearson_Model
HELZ2,0.230577350843161,0.2509386602252685,0.2272105512790194,0.2882838454361488,0.231823596480286,0.1812064315015374,0.2300097979519738,0.2437649719279856,0.2230654699195968,0.3423591272642676,ElasticNet_1024,ElasticNet_1024
FOSB,0.1537135634114577,0.1792676402466704,0.1521765031697764,0.1981917364973522,0.1651663048959345,0.0687486693688874,0.1532160275004962,0.1833130493773405,0.152030576259517,0.2224064976686325,ElasticNet_1024,ElasticNet_1024
MYC,0.1920137705437256,0.2033741670825622,0.1891421885168343,0.2595885946569227,0.1950095648315786,0.1062295683228807,0.1927159299321808,0.1798823990245586,0.1831282462937588,0.3518240894775005,ElasticNet_1024,ElasticNet_1024
PRDM1,0.1931206961802577,0.1618216073295637,0.1921485356235259,0.1832034924235065,0.2171626408114051,-0.0146089163436431,0.1924465996298316,0.1712170759998922,0.191481005843258,0.2029048786736938,ElasticNet_1024,ElasticNet_1024
YAP1,0.0902852938437339,0.1542445672562731,0.0902247936727941,0.1542457867533841,0.0998401410976099,0.0567492340272097,0.0900325793176856,0.1695863638253832,0.0900821264398109,0.1671812179453272,ElasticNet,ElasticNet
FOXF2,0.1461175257019954,0.1187793912807347,0.1453438276430989,0.1296881130237731,0.1624889815731884,0.0579789920005251,0.1450848998846094,0.148489496533485,0.145107837530292,0.146731232802337,ElasticNet,ElasticNet
YWHAZ,0.1335635081509233,0.1441146797095731,0.1322573393275066,0.1574018611413453,0.1434979216951279,0.0716817748216928,0.1325810144977102,0.146467228522258,0.1327786368413706,0.1417921766336576,XGBoost,XGBoost
FOXF1,0.1836796986993878,0.1222276665484781,0.1824015447233744,0.1436958302823123,0.2004581874139259,0.0423985920439772,0.1825960380044136,0.1441480557735802,0.182557033765833,0.1546659135186176,XGBoost,ElasticNet_1024
ZNF296,0.1600915457295191,0.1404952397698419,0.1594153727372071,0.1515102828449032,0.1608859419692329,0.0882760993025452,0.1598442142045744,0.1430181574108397,0.1591943564913436,0.1691027480378904,ElasticNet_1024,ElasticNet_1024
MXI1,0.1869931938568723,0.1528176191547667,0.1855723325726734,0.1928213263236023,0.2093994708747311,0.072101702997505,0.1871195383003503,0.1407715585513675,0.1835818368969182,0.2405792423034224,ElasticNet_1024,ElasticNet_1024
IFI16,0.142492823995469,0.1291354458520737,0.138427527888248,0.107495285055078,0.1438419304484923,-0.0026112033061963,0.1373014076592054,0.1369669709253754,0.137239551541699,0.146012997697714,ElasticNet_1024,ElasticNet_1024
GATA3,0.1442310502282075,0.1314701584060986,0.1432747857157452,0.163817921905583,0.1649098705358055,0.033774195551552,0.1440368212777805,0.1347080389654732,0.1433579652992554,0.1686917453561806,XGBoost,ElasticNet_1024
PHOX2A,0.1459678078070305,0.1196355134750469,0.1458249076943673,0.1222362169573149,0.1645873134004364,0.055743079338818,0.1454576753556906,0.124917818268242,0.1457832638937436,0.1015934901731595,ElasticNet,ElasticNet
THRA,0.130597746103655,0.1251958218428865,0.1302500329322169,0.1024719214362662,0.1454128491883942,0.084019992922055,0.130211154390364,0.1220704241693415,0.13007308970532,0.137443346758211,ElasticNet_1024,ElasticNet_1024
FOXL2,0.1565123378600179,0.1017242305007145,0.1557784917765805,0.1059191956034004,0.1783975369838963,0.0237056257435152,0.1552682946111096,0.1205999874957708,0.1549791001440658,0.1327345031880272,ElasticNet_1024,ElasticNet_1024
PLAG1,0.251674680553722,0.0654389922576763,0.2427421586133538,0.0801582108310752,0.2262748709712396,0.0416454184309106,0.2414041834536378,0.1194909752981056,0.2418892153245765,0.1163279236359009,MLP,ElasticNet
BSX,0.1893272514850615,0.1006582353168968,0.1884667341739624,0.1256304308368835,0.2112765521128349,0.005797061775816,0.1887006444538654,0.1182014408802822,0.1889110135152088,0.1097832015518427,XGBoost,XGBoost
