perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson
AFF1,0.10059227713305828,0.027887103570407162,0.1003691153340555,0.0167490203105762,0.1115119468955295,0.0308695809348752,0.10033080107449763,0.04078963410458332,0.1002592306429447,0.05307926932771674
ALX1,0.11256999613434915,-0.0008250891014557865,0.1118950055141176,-0.01444277136309,0.1316326353656441,-0.0419790199650657,0.1117386309169168,0.02074802173824682,0.1117565269841206,0.0062290076598877
ALX4,0.13860634023285848,0.0017643928535075071,0.1373681134720638,0.0039235493259791,0.1588146331545145,0.0138645947526685,0.13772356693938362,0.01127965305410068,0.1377239348176862,-0.013307642444430876
ARID1A,0.14753368434131786,-0.011906137753091083,0.146335284406389,0.0266099276313463,0.1741533163852762,-0.0576530717930402,0.146229776920741,-0.031494171037331126,0.146217417669055,-0.01544033927911945
ARID3A,0.09372523139550322,0.028586482856328387,0.0932203024307238,0.044144590550966,0.1090102008802106,0.0031172670462256,0.09316884809796684,0.054629382096310866,0.09323854422108036,0.03864042412286044
ARNTL,0.1626614219073571,0.004615150991157002,0.1615969938692401,0.0435343341970224,0.1835532069429819,-0.0158261353861553,0.1615841040488458,0.048343394351807775,0.16160833165444438,0.05335484715609797
ATF3,0.10617248709612974,0.0982786248480524,0.105951851564712,0.1031148063437106,0.1122226728123388,0.0189692685946324,0.10514651914055506,0.10266611578568967,0.10535432309400379,0.0867085395494142
BARX1,0.20995531214194713,-0.02094188336898651,0.2086393163673519,0.0001179291521791,0.223356017623574,-0.001223165162362,0.20854655213291678,-0.0317960167226394,0.2085311697046154,0.0180112632188082
BBX,0.3129923577712305,0.01768889476775145,0.3100496947131738,0.0165654090907568,0.2923086312286374,-0.0230983906432073,0.30547145662188,0.04551478589583726,0.3054915612613564,0.001972541710027996
BCL11A,0.26002095459194435,0.017014337680693513,0.2579973114034011,0.0013118270103255,0.2629530258626265,0.0205566892192641,0.2575440843365556,0.04178180290887856,0.2577124116573182,-0.007769309374118766
BCL11B,0.3079286694470097,0.06966852395210386,0.3069945617200669,0.0744604807307077,0.3176998868946403,0.02157048740486,0.306789995017327,0.08495814067405713,0.3074579012734144,0.060117707713045386
BHLHE40,0.14114979591985258,0.02721592001607548,0.140741589536688,-0.0032221927029764,0.1574308631922379,0.0163745415108821,0.1405334344998266,0.02725049263855186,0.1405749344618254,-0.011065637926439002
BHLHE41,0.14278867319822303,-0.005361958416049247,0.141652749390282,-0.0374515353547142,0.1626822706922291,-0.0017798002423275,0.14125364895218478,-0.034798186924051,0.1412448658345752,-0.011166841786669567
BID,0.11326232205256599,0.04417426414521421,0.1115008994215537,0.0203495838001224,0.1003603914218159,0.0430046236746045,0.10461176988194451,0.01353275457849562,0.10460751019198425,-0.016317681867256
BNC1,0.09754599160312868,0.019430923770894698,0.0972549905448309,0.019229458719068,0.1114150565835876,0.0008932407775512,0.09723512206687299,-0.01132972232917405,0.09723041021016668,-0.0288893184720972
BNC2,0.12767715046390296,0.018189228085470945,0.1271905346171786,0.0183979049870077,0.1501874017376517,-0.0036013544303238,0.127055573573655,0.041994338503727816,0.1270800590974704,0.04277205042707312
BPTF,0.13253347100919588,0.005834390860204477,0.1319777569838984,0.0070221763062962,0.1511138559207263,0.0249517808751541,0.131865443181972,0.023980682150133062,0.131890722050094,-0.008879499724327765
BSX,0.18932725148506158,0.10065823531689685,0.1884667341739624,0.1256304308368835,0.2112765521128349,0.005797061775816,0.18870064445386542,0.11820144088028224,0.1889110135152088,0.1097832015518427
CARHSP1,0.1711505022107266,0.014505377226417074,0.1546077805580336,-0.0048562496188491,0.1273316810921003,0.0023578894958722,0.14270036698443592,-0.01280785769305898,0.14419218738766562,-0.0028252317296994798
CASZ1,0.25909457334077945,0.020851790281734416,0.2564344769918198,0.0043561090790286,0.2559618804798889,-0.0247296451833934,0.2570261138893382,-0.017592804698302534,0.25693886081886524,0.02282952803452246
CDX2,0.16862123113626964,0.04672376487577249,0.1679359842580096,0.0321038990619885,0.1975058769695153,-0.0133200694050955,0.1678576746571744,0.0400332503437623,0.168039276085328,0.0060952010261554395
CEBPA,0.22328893667315527,0.024951919618118164,0.2222519540158166,0.0284397327019177,0.2211913034369514,0.0610701287280807,0.22169478248758479,0.020837508206445803,0.2214140764651336,0.040918168514764
CEBPB,0.20706420755107535,0.032062651250882326,0.2054580694448805,0.0480492403032188,0.2212766712345981,0.0264751528466158,0.204473198943344,0.0767682671153418,0.2049679165488884,0.03131756491104004
CREBBP,0.10692009372600214,0.027551889877108972,0.1064100488663545,0.0295466750535028,0.1135659290718936,0.0260031364646642,0.10633253136316667,0.03617353180016776,0.10636323704823865,0.008877627827303666
DLX2,0.1157140117812159,0.014609409046641608,0.1152923966278686,0.002675031075996,0.1348111586275764,-0.0860766171030296,0.1150088235341384,0.02219206331496908,0.1149842338951462,0.03784562132389418
DLX3,0.1667126322137889,0.05459730900444484,0.1661705995097568,0.0190466732461652,0.1755539422307237,-0.0245392968623385,0.16563347820794222,0.0505013351928982,0.1657086536998388,0.013132514159385
DMRT1,0.15731055967123825,0.010490355628828751,0.1563484127311064,0.0175646611272451,0.1617495302084759,0.0501039699903497,0.156603959590852,-0.00491298904474555,0.1565769791828326,0.03679717249517523
DNAJC1,0.13583450640791725,0.02331007148148912,0.1294699720098554,0.0010912091766518,0.120850162877469,-0.0075112458664212,0.12345403167639339,-0.016066334365292322,0.12338403344812994,0.0079066408908604
EBF2,0.13565940972225388,0.04835662169106097,0.1354667716546987,0.0111500854141543,0.1577921032269045,0.0369832032038936,0.13531347635314522,0.020762501458195602,0.1352899928594,0.020534174948825777
EBF3,0.19106221447265828,0.06095892515576483,0.1902355988985344,0.0839175440657025,0.199478576922862,0.0364019512470937,0.19030224797613943,0.0675188216835676,0.1906838810255204,0.024999345602466024
EGR2,0.14615830730990348,0.0492920146915435,0.145627016498562,0.0519444880443031,0.1529568254579061,0.0175548017187198,0.1457121272750586,0.05596673886669158,0.1456976289412088,0.04208315206554534
EGR3,0.15601581170805198,0.07486400478626407,0.1546855041465117,0.1001803429286208,0.1691696850088504,0.0188275244970965,0.1546477986688492,0.10972565687138887,0.1544456387605114,0.12234272959140109
