perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson
AFF1,0.1004801748896297,0.06780913428005494,0.0999414497367589,0.0939075741448997,0.1100988428707897,0.0766643295354057,0.09965161060838265,0.10968292693259092,0.09941824613171134,0.13299013834159057
ALX1,0.11223427730396728,0.007617759315218284,0.111707367474824,0.0371257366182753,0.1341065544803658,-0.0858729809653945,0.1117229029875956,0.034353278460178036,0.11177179832779041,0.0029580803003704005
ALX4,0.1382977186820112,0.02920614749079977,0.137312251855443,0.0360073343924394,0.1805153435536907,-0.0414796141893607,0.13741859895244782,0.0341268435895275,0.1374784039646696,-0.0159866689182378
ARID1A,0.14605486977836768,0.08716678659051817,0.1459620696166813,0.0808400415470128,0.1727947718181844,0.0403897516055171,0.14593660035290398,0.084081556325791,0.14622937989715862,0.0742017013366073
ARID3A,0.09336650481264779,0.041132041719596016,0.0932094802635433,0.0085691557104903,0.1045564462394064,0.0203631168206261,0.09307916625593958,0.06588660771929536,0.09313882780829737,0.044767888575660594
ARNTL,0.16199028518316652,0.0380533334097095,0.1612550504206627,0.0654449100532937,0.1854958269182916,-0.0034863627244242,0.1609979393984352,0.09135857959081461,0.16128907466722958,0.08591419455574963
ATF3,0.10590704990542363,0.11189819008033317,0.1046617843536411,0.1112597398643503,0.1161674751163056,0.0383332773203661,0.10445467709466963,0.13797776654632374,0.10449443588547067,0.13397030726125153
BARX1,0.2096375194273932,0.039041058452666574,0.2083698046212306,0.0364863210018986,0.2361368462593483,0.0723996819437252,0.20765694824352918,0.09774175140658901,0.207585029084255,0.10237402775080814
BBX,0.31328355709387923,0.003833025501880536,0.3057259590668492,0.0206674596805111,0.2717300224708589,0.0395065542773666,0.3058119861824694,-0.00618126197747486,0.3057719359585522,0.019377354024642898
BCL11A,0.25805881470314385,0.03452377351267041,0.2575124921195665,0.0424468644349428,0.2775978257487885,0.0192981614679208,0.2573107422696916,0.0500181118641679,0.2571827270410346,0.051274217572934024
BCL11B,0.30956792528975086,0.045062637675554656,0.3079775761398184,0.0245152856363223,0.3362415027523664,-0.0276951256766288,0.307981582289938,0.00879154509377578,0.3075048949543736,0.06704673660632302
BHLHE40,0.14085063741267415,0.02827665591267554,0.1403565280303192,0.0459736125272393,0.1528618540939177,0.0484683909405344,0.14050724722541502,0.029864866592328298,0.1405246637001074,0.00851689927978766
BHLHE41,0.14181383682624565,-0.008396567729411756,0.1410797194464421,0.0206308318650489,0.1589995726565249,-0.0010007457127084,0.140959017143861,0.040714686085038,0.14104890607017842,-0.029666643322098347
BID,0.11320470673442633,0.05988895804655022,0.1080930819868099,0.0394139576922815,0.1074430952757465,0.0585091712802018,0.1048549893269883,0.07217534007243047,0.10508395327655798,0.019418183119180782
BNC1,0.09734594954226361,0.03202589292922996,0.0971204752567374,0.0274929620216272,0.1152969115918452,0.0385223983894423,0.09709710965297212,0.025689054592356642,0.09714843837108171,-0.0021533450068090404
